Freq(Hz),S21(DB),S21(DEG)
6000000000,-35.83474,-177.13203
6003921568.6275,-35.189365,171.91928
6007843137.2549,-34.36002,158.23761
6011764705.8824,-33.648144,141.24904
6015686274.5098,-33.42107,122.74178
6019607843.1373,-33.008793,107.15912
6023529411.7647,-32.892254,86.862724
6027450980.3922,-33.117203,68.813354
6031372549.0196,-33.160175,51.627785
6035294117.6471,-33.548237,31.225952
6039215686.2745,-34.591228,13.783192
6043137254.902,-35.281895,1.3326298
6047058823.5294,-35.671463,-13.287728
6050980392.1569,-36.253059,-28.557642
6054901960.7843,-37.054802,-44.913715
6058823529.4118,-39.141125,-57.288021
6062745098.0392,-40.471512,-53.392532
6066666666.6667,-39.497452,-52.166775
6070588235.2941,-37.910576,-59.999504
6074509803.9216,-36.279087,-71.518074
6078431372.549,-35.099213,-87.925644
6082352941.1765,-34.113499,-105.00768
6086274509.8039,-33.667507,-123.64834
6090196078.4314,-33.209606,-142.02357
6094117647.0588,-33.024654,-159.62926
6098039215.6863,-32.847809,-177.37308
6101960784.3137,-32.541069,164.60126
6105882352.9412,-32.830799,143.83478
6109803921.5686,-33.150795,128.00502
6113725490.1961,-33.260532,110.26619
6117647058.8235,-33.738407,90.894966
6121568627.451,-34.704132,73.801605
6125490196.0784,-35.350262,61.067902
6129411764.7059,-35.977592,42.585449
6133333333.3333,-37.423145,30.051788
6137254901.9608,-38.475407,22.9842
6141176470.5882,-38.814545,16.178423
6145098039.2157,-39.1586,9.3638372
6149019607.8431,-38.801388,3.9126253
6152941176.4706,-38.101723,-2.6112187
6156862745.098,-36.833954,-12.474264
6160784313.7255,-35.557911,-28.107351
6164705882.3529,-35.032768,-44.651585
6168627450.9804,-34.44067,-60.566006
6172549019.6078,-34.067375,-77.304352
6176470588.2353,-33.742584,-93.664642
6180392156.8627,-33.443264,-109.99751
6184313725.4902,-33.03138,-126.85347
6188235294.1176,-32.951832,-146.21753
6192156862.7451,-33.312706,-163.62379
6196078431.3725,-33.32135,-179.93777
6200000000,-33.830036,163.30556
6203921568.6275,-34.220764,149.26012
6207843137.2549,-34.605968,135.87352
6211764705.8824,-34.544128,122.52726
6215686274.5098,-34.575043,109.37746
6219607843.1373,-34.287415,93.505417
6223529411.7647,-34.597446,75.205627
6227450980.3922,-35.756203,61.466846
6231372549.0196,-35.937016,54.659332
6235294117.6471,-35.526131,45.463005
6239215686.2745,-34.938778,32.302841
6243137254.902,-34.231823,17.659063
6247058823.5294,-34.118305,2.813154
6250980392.1569,-33.675209,-12.760987
6254901960.7843,-33.48819,-29.240515
6258823529.4118,-33.297535,-44.993721
6262745098.0392,-33.176029,-62.13385
6266666666.6667,-33.054836,-79.556137
6270588235.2941,-33.289177,-98.401085
6274509803.9216,-33.885223,-113.97054
6278431372.549,-34.182816,-130.3667
6282352941.1765,-35.101341,-145.58163
6286274509.8039,-35.565937,-153.99069
6290196078.4314,-35.239353,-167.07004
6294117647.0588,-35.513222,176.35619
6298039215.6863,-36.060078,165.3578
6301960784.3137,-36.091778,154.11446
6305882352.9412,-36.212036,142.22903
6309803921.5686,-35.798061,134.10777
6313725490.1961,-35.02145,120.51186
6317647058.8235,-34.46442,103.7794
6321568627.451,-34.510414,87.72644
6325490196.0784,-34.457935,72.821495
6329411764.7059,-34.470684,57.844688
6333333333.3333,-34.279846,45.337425
6337254901.9608,-33.84267,29.470272
6341176470.5882,-33.755054,13.286673
6345098039.2157,-33.742966,-4.0315237
6349019607.8431,-34.189236,-19.891932
6352941176.4706,-33.986237,-33.558693
6356862745.098,-34.12875,-51.826672
6360784313.7255,-34.643223,-67.049431
6364705882.3529,-35.011616,-81.891518
6368627450.9804,-35.73019,-94.645447
6372549019.6078,-36.202354,-105.36971
6376470588.2353,-36.237713,-114.93502
6380392156.8627,-36.03672,-125.02858
6384313725.4902,-35.683571,-135.59456
6388235294.1176,-35.172955,-146.52895
6392156862.7451,-34.321331,-160.64406
6396078431.3725,-33.482613,-176.81032
6400000000,-33.171577,164.73982
6403921568.6275,-33.151112,147.18225
6407843137.2549,-33.138241,131.4597
6411764705.8824,-33.319912,115.38997
6415686274.5098,-33.086311,101.30268
6419607843.1373,-33.022587,83.727013
6423529411.7647,-33.241566,69.262283
6427450980.3922,-32.942238,53.811863
6431372549.0196,-32.939518,36.613331
6435294117.6471,-32.921291,18.527414
6439215686.2745,-33.719154,-1.6000408
6443137254.902,-34.612915,-14.631965
6447058823.5294,-35.477966,-28.748297
6450980392.1569,-36.4772,-38.010647
6454901960.7843,-36.75412,-42.995537
6458823529.4118,-36.091537,-48.154682
6462745098.0392,-34.924637,-60.388866
6466666666.6667,-34.255276,-74.404655
6470588235.2941,-33.509178,-90.400787
6474509803.9216,-33.045403,-105.4191
6478431372.549,-32.606705,-122.81397
6482352941.1765,-32.212925,-139.40472
6486274509.8039,-31.988279,-155.67603
6490196078.4314,-31.504934,-173.97083
6494117647.0588,-31.371944,166.51103
6498039215.6863,-31.735622,147.65744
6501960784.3137,-31.854176,130.64415
6505882352.9412,-32.410526,111.30647
6509803921.5686,-33.216038,96.333748
6513725490.1961,-33.566921,83.851166
6517647058.8235,-33.499825,69.19429
6521568627.451,-34.09063,52.381001
6525490196.0784,-34.623783,40.038242
6529411764.7059,-35.174129,26.366051
6533333333.3333,-35.535648,15.168656
6537254901.9608,-35.788326,4.7868719
6541176470.5882,-35.760349,-4.4601178
6545098039.2157,-35.05196,-14.497657
6549019607.8431,-34.578983,-28.926527
6552941176.4706,-33.955917,-42.426708
6556862745.098,-33.40332,-58.92374
6560784313.7255,-33.264389,-74.960991
6564705882.3529,-32.934978,-90.998787
6568627450.9804,-32.724972,-106.35198
6572549019.6078,-32.459167,-124.35765
6576470588.2353,-32.509361,-141.87263
6580392156.8627,-32.544033,-157.57542
6584313725.4902,-32.413506,-175.04097
6588235294.1176,-32.45134,167.14641
6592156862.7451,-32.513767,147.5925
6596078431.3725,-33.359791,129.07195
6600000000,-34.058201,114.41787
6603921568.6275,-34.647469,98.978317
6607843137.2549,-35.726067,86.203583
6611764705.8824,-35.933578,75.555092
6615686274.5098,-36.469307,64.063736
6619607843.1373,-36.55674,55.497421
6623529411.7647,-36.194744,45.330948
6627450980.3922,-35.736568,33.686344
6631372549.0196,-35.193928,21.388208
6635294117.6471,-34.26572,6.5484986
6639215686.2745,-33.717571,-11.47223
6643137254.902,-33.341354,-30.526096
6647058823.5294,-33.161232,-48.543999
6650980392.1569,-33.44001,-67.643982
6654901960.7843,-33.723976,-85.118263
6658823529.4118,-34.107738,-102.56898
6662745098.0392,-34.546623,-119.20113
6666666666.6667,-34.980114,-134.94901
