Freq(Hz),S12(DB),S12(DEG)
4000000000,-36.830856,74.891045
4004511278.1955,-37.877972,79.637299
4009022556.391,-34.235291,56.965256
4013533834.5865,-35.63031,29.516369
4018045112.782,-36.083546,12.150342
4022556390.9774,-36.828835,-3.0020518
4027067669.1729,-36.523045,-23.360992
4031578947.3684,-37.760662,-38.387188
4036090225.5639,-37.48061,-44.108734
4040601503.7594,-37.188931,-70.998184
4045112781.9549,-36.504902,-90.967918
4049624060.1504,-37.803982,-118.05154
4054135338.3459,-40.422394,-143.19867
4058646616.5414,-41.807396,-153.81158
4063157894.7368,-44.166233,-170.38644
4067669172.9323,-48.15329,-108.21762
4072180451.1278,-39.846485,-144.70813
4076691729.3233,-38.422127,-173.64067
4081203007.5188,-39.214855,143.59808
4085714285.7143,-42.71566,129.80141
4090225563.9098,-40.352127,127.66278
4094736842.1053,-40.428772,92.710732
4099248120.3008,-41.92606,71.707092
4103759398.4962,-43.276367,68.950882
4108270676.6917,-41.990898,52.494709
4112781954.8872,-42.387733,42.807323
4117293233.0827,-39.283264,26.728687
4121804511.2782,-39.496208,-16.647089
4126315789.4737,-44.2845,-12.121233
4130827067.6692,-42.195877,2.5556252
4135338345.8647,-36.545589,-34.467255
4139849624.0602,-36.543301,-70.822525
4144360902.2556,-38.147118,-83.649109
4148872180.4511,-36.513687,-105.92662
4153383458.6466,-36.257072,-128.97589
4157894736.8421,-37.650944,-146.46719
4162406015.0376,-37.191246,-159.73195
4166917293.2331,-36.789856,-176.75092
4171428571.4286,-36.686459,157.36234
4175939849.6241,-36.398212,147.98494
4180451127.8195,-36.010529,134.89024
4184962406.015,-34.879784,111.27045
4189473684.2105,-34.976341,91.274361
4193984962.406,-35.556412,64.185524
4198496240.6015,-37.963421,53.382271
4203007518.797,-37.636051,40.263329
4207518796.9925,-37.785553,31.134998
4212030075.188,-37.482136,16.000139
4216541353.3835,-36.909336,9.4288521
4221052631.5789,-35.504982,-12.00307
4225563909.7744,-35.876308,-38.562584
4230075187.9699,-36.395546,-46.126396
4234586466.1654,-35.247284,-69.199883
4239097744.3609,-35.21479,-80.904968
4243609022.5564,-34.717922,-115.21118
4248120300.7519,-37.050011,-137.00838
4252631578.9474,-38.37384,-124.8066
4257142857.1429,-35.191704,-152.67226
4261654135.3383,-36.577816,-175.03848
4266165413.5338,-37.493702,170.7366
4270676691.7293,-36.84145,166.38641
4275187969.9248,-35.508514,148.87439
4279699248.1203,-35.126835,122.48424
4284210526.3158,-35.542145,98.119545
4288721804.5113,-36.004616,82.335045
4293233082.7068,-35.617146,65.264114
4297744360.9023,-36.00267,36.935295
4302255639.0977,-38.417583,7.5425935
4306766917.2932,-39.660084,10.04635
4311278195.4887,-40.688873,0.05672545
4315789473.6842,-41.203434,-7.2661805
4320300751.8797,-38.691643,-14.9637
4324812030.0752,-39.120811,-44.288677
4329323308.2707,-40.181671,-66.52697
4333834586.4662,-42.198372,-91.626648
4338345864.6617,-45.493328,-76.637642
4342857142.8571,-41.615929,-77.515877
4347368421.0526,-41.690849,-85.288239
4351879699.2481,-37.174332,-108.10062
4356390977.4436,-37.938339,-147.95387
4360902255.6391,-37.298286,-156.60822
4365413533.8346,-39.193077,176.81616
4369924812.0301,-38.35376,163.92651
4374436090.2256,-37.643974,155.40874
4378947368.4211,-34.959496,136.1424
4383458646.6165,-34.914249,102.55742
4387969924.812,-34.105484,87.316658
4392481203.0075,-33.817928,57.043819
4396992481.203,-34.535103,35.613174
4401503759.3985,-34.140621,27.49823
4406015037.594,-32.580544,7.6092176
4410526315.7895,-31.610863,-23.119387
4415037593.985,-32.236965,-50.342384
4419548872.1805,-34.423126,-66.445671
4424060150.3759,-33.630016,-74.728424
4428571428.5714,-32.8713,-96.097603
4433082706.7669,-33.033051,-121.42378
4437593984.9624,-35.011879,-135.95407
4442105263.1579,-34.798325,-136.48888
4446616541.3534,-34.397572,-161.2325
4451127819.5489,-34.01524,-170.84016
4455639097.7444,-33.162132,175.4209
4460150375.9398,-33.241566,154.78738
4464661654.1353,-33.547478,137.55302
4469172932.3308,-33.362236,120.04807
4473684210.5263,-34.868832,103.97972
4478195488.7218,-34.616795,95.462112
4482706766.9173,-35.400921,81.076736
4487218045.1128,-35.093502,72.616096
4491729323.3083,-33.934105,53.368599
4496240601.5038,-33.879597,32.938206
4500751879.6992,-35.301365,14.125533
4505263157.8947,-35.36655,12.638743
4509774436.0902,-34.513615,-2.539144
4514285714.2857,-34.298813,-25.208952
4518796992.4812,-34.373703,-45.541542
4523308270.6767,-36.849022,-59.42078
4527819548.8722,-34.546505,-59.713402
4532330827.0677,-33.022301,-90.371315
4536842105.2632,-35.888733,-115.32899
4541353383.4586,-37.477367,-133.2715
4545864661.6541,-36.651402,-118.50819
4550375939.8496,-35.801392,-150.14066
4554887218.0451,-34.372318,-158.55855
4559398496.2406,-34.272774,171.19135
4563909774.4361,-35.363789,148.75569
4568421052.6316,-37.911854,135.93085
4572932330.8271,-37.445679,128.70648
4577443609.0226,-34.46949,120.59686
4581954887.218,-34.08334,82.477219
4586466165.4135,-36.377048,68.355347
4590977443.609,-34.372189,60.09111
4595488721.8045,-33.724659,29.521484
4600000000,-35.451099,4.7827892
4604511278.1955,-36.247265,-5.5967102
4609022556.391,-36.265816,-17.711712
4613533834.5865,-36.154339,-34.153755
4618045112.782,-34.690601,-45.947491
4622556390.9774,-34.153446,-72.601913
4627067669.1729,-34.286011,-96.673119
4631578947.3684,-35.547935,-110.85432
4636090225.5639,-33.659088,-125.1246
