!CSV A.01.01
!Keysight Technologies,P5008B,MY61100146,A.17.20.08
!Date: Saturday, November 18, 2023 14:09:18
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
2000000000,-35.21513,-62.142986
2001955034.2131,-34.948032,-70.673691
2003910068.4262,-33.677319,-84.202583
2005865102.6393,-33.083401,-101.42794
2007820136.8524,-33.555378,-115.45474
2009775171.0655,-33.690449,-129.20178
2011730205.2786,-34.062092,-143.55049
2013685239.4917,-34.83083,-153.62613
2015640273.7048,-35.069344,-163.308
2017595307.9179,-35.313942,-169.81721
2019550342.131,-35.74485,177.87384
2021505376.3441,-35.467911,172.60989
2023460410.5572,-35.483131,160.53766
2025415444.7703,-34.799938,154.4073
2027370478.9834,-33.876247,137.37105
2029325513.1965,-34.517956,118.25298
2031280547.4096,-34.704788,105.29088
2033235581.6227,-36.126949,88.902115
2035190615.8358,-35.823223,83.682396
2037145650.0489,-36.775421,60.695301
2039100684.262,-38.99963,53.792713
2041055718.4751,-39.056435,55.640625
2043010752.6882,-37.400211,38.83725
2044965786.9013,-38.609978,17.142548
2046920821.1144,-39.501347,-2.6204414
2048875855.3275,-40.894283,-15.762611
2050830889.5406,-42.277763,-43.65556
2052785923.7537,-45.373329,-80.749626
2054740957.9668,-52.518951,-162.90143
2056695992.1799,-53.632759,91.732414
2058651026.393,-50.641022,55.877819
2060606060.6061,-51.869865,52.383877
2062561094.8192,-47.576649,54.722805
2064516129.0323,-45.386292,45.624184
2066471163.2454,-41.062687,29.008766
2068426197.4585,-39.352379,-1.8201942
2070381231.6716,-39.845215,-31.654194
2072336265.8847,-41.29528,-49.887383
2074291300.0978,-41.898182,-65.309311
2076246334.3109,-45.798088,-80.363815
2078201368.5239,-44.227989,-71.58783
2080156402.737,-44.190296,-100.0777
2082111436.9501,-45.419258,-113.76881
2084066471.1632,-45.099232,-154.23056
2086021505.3763,-51.409256,132.08675
2087976539.5894,-48.570324,29.040026
2089931573.8025,-46.49239,-53.181591
2091886608.0156,-49.608521,-75.025116
2093841642.2287,-48.496342,-89.40432
2095796676.4418,-56.830227,-93.994949
2097751710.6549,-53.231487,-31.584322
2099706744.868,-44.911278,-47.827805
2101661779.0811,-43.856243,-66.703156
2103616813.2942,-42.715363,-79.387169
2105571847.5073,-39.817638,-96.013634
2107526881.7204,-40.567131,-123.18463
2109481915.9335,-41.64584,-106.79761
2111436950.1466,-38.008076,-125.53886
2113391984.3597,-38.005043,-139.21762
2115347018.5728,-36.261036,-141.25031
2117302052.7859,-34.452991,-162.13866
2119257086.999,-33.697159,178.50514
2121212121.2121,-33.415337,161.31329
2123167155.4252,-32.52309,141.73779
2125122189.6383,-32.921917,117.20299
2127077223.8514,-34.965626,99.435532
2129032258.0645,-36.564293,96.180191
2130987292.2776,-36.5518,83.9991
2132942326.4907,-38.079514,88.723618
2134897360.7038,-35.84919,77.568016
2136852394.9169,-35.34222,62.274662
2138807429.13,-36.287319,51.197262
2140762463.3431,-36.263359,35.670986
2142717497.5562,-37.568581,27.786776
2144672531.7693,-37.348236,21.769575
2146627565.9824,-38.014694,13.131912
2148582600.1955,-37.010246,7.3109732
2150537634.4086,-38.353081,0.82325828
2152492668.6217,-36.65572,-3.7958448
2154447702.8348,-35.822952,-24.220621
2156402737.0479,-37.25568,-34.424232
2158357771.261,-37.591831,-39.625305
2160312805.4741,-37.239662,-48.014729
2162267839.6872,-37.512867,-51.280014
2164222873.9003,-36.174019,-58.959259
2166177908.1134,-35.612175,-74.314064
2168132942.3265,-34.928684,-82.950996
2170087976.5396,-34.186836,-99.777069
2172043010.7527,-34.502079,-120.48712
2173998044.9658,-35.576283,-129.88655
2175953079.1789,-35.69342,-141.7442
2177908113.392,-36.346867,-146.6797
2179863147.6051,-35.195004,-157.99141
2181818181.8182,-34.654491,-174.99925
2183773216.0313,-34.896488,163.17635
2185728250.2444,-35.168972,145.0834
2187683284.4575,-36.730103,120.30369
2189638318.6706,-40.2971,101.67543
2191593352.8837,-43.226574,106.05235
2193548387.0968,-43.857723,102.30994
2195503421.3099,-43.717983,85.21862
2197458455.523,-49.436554,64.517769
2199413489.7361,-51.462219,103.68184
2201368523.9492,-50.688934,97.806885
2203323558.1623,-49.987579,121.75011
2205278592.3754,-45.440273,104.68404
2207233626.5885,-49.095097,60.693737
2209188660.8016,-55.1558,113.0629
2211143695.0147,-49.478397,119.21764
2213098729.2278,-47.249599,95.676659
2215053763.4409,-49.231831,85.646744
2217008797.654,-48.655983,116.88488
2218963831.8671,-45.10664,95.995583
2220918866.0802,-44.762142,95.368683
2222873900.2933,-43.112484,85.942291
2224828934.5064,-40.349346,63.883293
2226783968.7195,-43.034252,42.497429
2228739002.9326,-43.187656,47.535385
2230694037.1456,-41.137352,54.978756
2232649071.3587,-38.286018,29.038359
2234604105.5718,-39.042042,11.18711
2236559139.7849,-38.39616,-5.327508
2238514173.998,-40.228775,-19.678761
2240469208.2111,-40.043034,-27.592148
2242424242.4242,-40.419834,-42.98671
2244379276.6373,-42.831547,-53.261997
2246334310.8504,-43.619919,-57.640575
2248289345.0635,-47.01281,-56.932323
2250244379.2766,-47.569633,-24.369711
2252199413.4897,-41.493885,-15.981838
2254154447.7028,-37.69067,-32.844402
2256109481.9159,-35.923344,-58.633057
2258064516.129,-36.043644,-80.719437
2260019550.3421,-37.538788,-91.186485
2261974584.5552,-36.689434,-95.528397
2263929618.7683,-35.545952,-102.80381
2265884652.9814,-34.003437,-117.94263
2267839687.1945,-34.465664,-137.71169
2269794721.4076,-34.844158,-149.71718
2271749755.6207,-34.665169,-156.20354
2273704789.8338,-34.139954,-167.28616
2275659824.0469,-33.564854,178.44507
2277614858.26,-33.454098,165.45891
2279569892.4731,-33.828621,152.47414
2281524926.6862,-33.337196,143.41864
2283479960.8993,-32.781677,128.23402
2285434995.1124,-32.980717,110.5078
2287390029.3255,-33.829437,96.746162
2289345063.5386,-33.640823,84.468895
2291300097.7517,-34.281956,69.630272
2293255131.9648,-34.869499,53.127041
2295210166.1779,-36.623474,44.025578
2297165200.391,-36.823147,40.727909
2299120234.6041,-36.85183,24.840633
2301075268.8172,-37.769638,15.412067
2303030303.0303,-37.975723,9.3990707
2304985337.2434,-38.373409,-7.5412998
2306940371.4565,-39.480873,-17.56039
2308895405.6696,-40.016232,-30.955954
2310850439.8827,-41.533978,-52.875751
2312805474.0958,-47.277508,-64.45414
2314760508.3089,-49.259087,-21.411503
2316715542.522,-44.611809,-16.842985
2318670576.7351,-42.858646,-37.13554
2320625610.9482,-43.991287,-58.508678
2322580645.1613,-46.094624,-59.281384
2324535679.3744,-47.629768,-59.201744
2326490713.5875,-47.817986,-45.260452
2328445747.8006,-45.060909,-38.913605
2330400782.0137,-41.735256,-45.035259
2332355816.2268,-39.519558,-70.064888
2334310850.4399,-39.935844,-96.451302
2336265884.653,-41.937534,-122.44556
2338220918.8661,-44.356556,-109.86049
2340175953.0792,-43.32769,-123.80867
2342130987.2923,-43.729374,-129.10568
2344086021.5054,-45.816399,-132.92377
2346041055.7185,-44.250259,-138.43964
2347996089.9316,-48.401081,-149.96008
2349951124.1447,-44.061874,-123.23451
2351906158.3578,-43.082989,-143.8405
2353861192.5709,-41.641392,-153.43828
2355816226.784,-41.491745,-175.1492
2357771260.9971,-41.862877,171.50253
