!CSV A.01.01
!Keysight Technologies,P5008B,MY61100146,A.17.20.08
!Date: Saturday, November 18, 2023 14:08:32
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
2000000000,-35.144131,-61.352947
2001955034.2131,-34.983383,-70.79612
2003910068.4262,-33.712242,-82.470306
2005865102.6393,-32.973633,-99.580597
2007820136.8524,-33.487415,-116.75374
2009775171.0655,-33.861694,-129.06456
2011730205.2786,-34.168373,-141.5549
2013685239.4917,-34.760773,-153.93503
2015640273.7048,-35.310303,-163.45001
2017595307.9179,-35.846004,-167.76256
2019550342.131,-35.926865,-177.605
2021505376.3441,-35.065811,179.51671
2023460410.5572,-34.654644,162.65077
2025415444.7703,-34.308956,153.76912
2027370478.9834,-33.790905,136.56703
2029325513.1965,-34.492313,119.718
2031280547.4096,-34.526207,106.55338
2033235581.6227,-36.180878,93.403442
2035190615.8358,-35.398716,86.742813
2037145650.0489,-36.254936,64.465729
2039100684.262,-38.301537,60.237038
2041055718.4751,-37.509464,59.654434
2043010752.6882,-36.199486,39.332378
2044965786.9013,-37.067299,18.195108
2046920821.1144,-37.830154,-2.7435708
2048875855.3275,-38.829967,-18.254408
2050830889.5406,-40.471889,-47.101284
2052785923.7537,-43.148827,-80.402763
2054740957.9668,-50.207096,-137.60229
2056695992.1799,-59.789654,116.55704
2058651026.393,-51.863914,52.442513
2060606060.6061,-53.709984,18.429598
2062561094.8192,-52.40966,47.553493
2064516129.0323,-48.00864,50.52623
2066471163.2454,-43.070099,27.048367
2068426197.4585,-41.31591,-3.4058552
2070381231.6716,-42.436508,-34.953449
2072336265.8847,-43.629292,-47.449524
2074291300.0978,-43.971325,-63.23687
2076246334.3109,-48.370804,-74.141388
2078201368.5239,-44.848114,-66.814919
2080156402.737,-45.382748,-104.45847
2082111436.9501,-46.870186,-125.08202
2084066471.1632,-46.343906,-172.69745
2086021505.3763,-48.040291,98.955254
2087976539.5894,-43.887932,32.165005
2089931573.8025,-43.450718,-30.632753
2091886608.0156,-44.792542,-49.693249
2093841642.2287,-44.56028,-73.276009
2095796676.4418,-50.141918,-78.263794
2097751710.6549,-47.036076,-45.175983
2099706744.868,-42.164627,-60.834591
2101661779.0811,-41.497295,-79.0028
2103616813.2942,-40.81638,-88.13974
2105571847.5073,-38.21814,-107.54395
2107526881.7204,-39.387352,-133.21393
2109481915.9335,-41.240372,-120.11353
2111436950.1466,-37.582317,-133.5806
2113391984.3597,-37.559055,-147.91028
2115347018.5728,-36.469204,-149.01018
2117302052.7859,-34.593372,-166.40546
2119257086.999,-33.526752,174.49762
2121212121.2121,-33.267052,155.0928
2123167155.4252,-32.761063,137.11995
2125122189.6383,-33.039921,114.50615
2127077223.8514,-34.887348,96.585518
2129032258.0645,-36.55555,91.991562
2130987292.2776,-36.749001,81.560959
2132942326.4907,-37.655201,87.404465
2134897360.7038,-35.702625,73.723373
2136852394.9169,-35.283165,58.783695
2138807429.13,-35.684055,46.302483
2140762463.3431,-35.844105,27.442955
2142717497.5562,-38.354187,14.590765
2144672531.7693,-38.611076,15.049051
2146627565.9824,-39.769989,10.983808
2148582600.1955,-37.99556,9.2299423
2150537634.4086,-39.462627,3.8432932
2152492668.6217,-36.914215,-0.80126178
