!CSV A.01.01
!Keysight Technologies,P5008B,MY61100146,A.17.20.08
!Date: Saturday, November 18, 2023 13:01:47
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
2000000000,-34.591236,-63.573242
2001955034.2131,-34.715424,-73.665466
2003910068.4262,-33.558216,-83.98423
2005865102.6393,-33.184196,-100.76775
2007820136.8524,-33.482265,-114.83057
2009775171.0655,-33.589546,-130.56384
2011730205.2786,-34.316563,-142.98999
2013685239.4917,-35.466103,-152.79242
2015640273.7048,-35.480347,-158.53307
2017595307.9179,-35.799755,-164.52708
2019550342.131,-35.555935,-174.14938
2021505376.3441,-34.616432,177.63733
2023460410.5572,-34.651642,162.57202
2025415444.7703,-34.398792,156.01596
2027370478.9834,-33.766758,139.63374
2029325513.1965,-34.156467,124.51715
2031280547.4096,-34.051418,107.76584
2033235581.6227,-35.700909,96.024857
2035190615.8358,-35.027645,85.432938
2037145650.0489,-36.176205,64.536263
2039100684.262,-38.445351,60.305843
2041055718.4751,-37.968964,63.909119
2043010752.6882,-36.132317,47.082764
2044965786.9013,-35.937614,27.677776
2046920821.1144,-37.210426,1.3118548
2048875855.3275,-38.013706,-9.7851706
2050830889.5406,-38.627033,-34.787758
2052785923.7537,-40.6175,-68.571968
2054740957.9668,-45.814941,-116.28905
2056695992.1799,-64.57531,122.14582
2058651026.393,-56.977108,7.4638515
2060606060.6061,-52.596359,-3.5878618
2062561094.8192,-58.058662,-2.9711041
2064516129.0323,-56.618835,65.771263
2066471163.2454,-45.880257,38.295578
2068426197.4585,-44.307785,-5.3237619
2070381231.6716,-44.974049,-23.651884
2072336265.8847,-45.14476,-39.680779
2074291300.0978,-44.729229,-62.817871
2076246334.3109,-51.012154,-73.184456
2078201368.5239,-47.415348,-64.441238
2080156402.737,-49.724663,-110.55083
2082111436.9501,-52.425812,-98.715683
2084066471.1632,-52.230667,168.36797
2086021505.3763,-50.528187,53.066479
2087976539.5894,-45.829556,16.081089
2089931573.8025,-43.213005,-29.088638
2091886608.0156,-44.396542,-44.993938
2093841642.2287,-44.76643,-77.679573
2095796676.4418,-47.480404,-57.800789
2097751710.6549,-44.739315,-45.343163
2099706744.868,-39.868694,-63.410091
2101661779.0811,-38.680317,-84.467369
2103616813.2942,-39.76144,-99.409416
2105571847.5073,-38.139584,-97.914589
2107526881.7204,-36.612244,-126.71175
2109481915.9335,-39.107777,-131.33917
2111436950.1466,-37.893986,-147.16025
2113391984.3597,-36.666988,-155.89796
2115347018.5728,-36.556808,-156.23746
2117302052.7859,-34.999012,-168.86279
2119257086.999,-33.797714,177.51796
2121212121.2121,-33.49482,158.12773
2123167155.4252,-32.208725,136.13763
2125122189.6383,-32.679405,111.8651
2127077223.8514,-34.722134,97.560112
2129032258.0645,-35.832874,90.133095
2130987292.2776,-35.77195,82.566025
2132942326.4907,-36.306107,80.781166
2134897360.7038,-35.207699,65.844566
2136852394.9169,-34.845108,52.802959
2138807429.13,-36.287365,37.572975
2140762463.3431,-36.159679,27.227268
2142717497.5562,-36.927052,15.426143
2144672531.7693,-37.283123,5.2044315
2146627565.9824,-38.73616,5.2605329
2148582600.1955,-37.13237,-3.3868101
2150537634.4086,-40.275959,-18.066881
2152492668.6217,-38.354668,-19.695196
2154447702.8348,-36.670998,-32.196056
2156402737.0479,-38.598473,-43.959801
2158357771.261,-39.299793,-49.897923
2160312805.4741,-38.584774,-57.204605
2162267839.6872,-39.539165,-65.542305
2164222873.9003,-39.197521,-61.414623
2166177908.1134,-37.750004,-73.706604
2168132942.3265,-36.325512,-82.625336
2170087976.5396,-35.622601,-104.70397
2172043010.7527,-36.005978,-126.00534
2173998044.9658,-37.842682,-138.83994
2175953079.1789,-38.902985,-148.1696
2177908113.392,-39.545052,-145.02324
2179863147.6051,-38.093849,-147.26231
2181818181.8182,-35.830509,-167.51544
2183773216.0313,-36.222221,161.72569
2185728250.2444,-37.150795,144.05241
2187683284.4575,-38.329628,111.91338
2189638318.6706,-43.708633,78.080467
2191593352.8837,-51.766777,73.216164
2193548387.0968,-57.480846,147.5712
2195503421.3099,-50.346344,115.05664
2197458455.523,-57.48851,-80.101547
2199413489.7361,-46.165421,-162.16878
2201368523.9492,-45.802891,174.99556
2203323558.1623,-44.007137,165.52815
2205278592.3754,-42.279976,146.36823
2207233626.5885,-43.415985,134.05544
2209188660.8016,-41.740799,131.13232
2211143695.0147,-41.324276,114.91547
2213098729.2278,-40.686699,100.79235
2215053763.4409,-42.000259,82.313446
2217008797.654,-42.476265,97.033806
2218963831.8671,-40.533264,81.529221
2220918866.0802,-41.474613,71.206734
2222873900.2933,-40.924191,67.497238
2224828934.5064,-38.408066,56.006516
2226783968.7195,-39.356277,33.761475
2228739002.9326,-41.116455,33.448883
2230694037.1456,-38.552921,39.146469
2232649071.3587,-36.31184,12.499951
2234604105.5718,-37.660957,-8.9849844
2236559139.7849,-38.044483,-16.280609
2238514173.998,-38.570091,-31.43376
2240469208.2111,-38.841759,-39.943874
2242424242.4242,-39.075996,-52.808212
2244379276.6373,-40.116405,-66.484344
2246334310.8504,-41.067387,-81.117615
2248289345.0635,-45.336582,-91.842567
2250244379.2766,-48.548908,-58.32819
2252199413.4897,-43.117237,-33.321381
2254154447.7028,-38.991203,-47.642715
