!CSV A.01.01
!Keysight Technologies,P5008B,MY61100146,A.17.20.08
!Date: Saturday, November 18, 2023 14:00:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
2000000000,-35.377911,-64.779579
2010000000,-33.168629,-133.73158
2020000000,-35.694611,-174.88463
2030000000,-33.916431,115.76895
2040000000,-38.861561,58.246502
2050000000,-40.611053,-23.693825
2060000000,-51.482849,32.423843
2070000000,-40.140682,-36.812691
2080000000,-45.924015,-113.90037
2090000000,-44.040646,-31.957087
2100000000,-42.975689,-57.650253
2110000000,-41.256943,-127.92607
2120000000,-34.110912,173.32248
2130000000,-36.835041,98.863907
2140000000,-35.662209,43.988834
2150000000,-37.652996,4.3468513
2160000000,-37.233353,-49.413265
2170000000,-33.410706,-103.54552
2180000000,-36.088646,-157.89551
2190000000,-40.802208,92.571655
2200000000,-47.896683,131.75029
2210000000,-49.926765,109.52232
2220000000,-46.276783,78.624832
2230000000,-43.428596,58.240463
2240000000,-39.646564,-19.077906
2250000000,-44.871559,-21.705429
2260000000,-36.511852,-96.492676
2270000000,-35.364429,-155.52901
2280000000,-33.679409,151.0463
2290000000,-34.363174,79.369415
2300000000,-37.866852,20.69829
2310000000,-41.012413,-36.741211
2320000000,-42.663223,-53.998402
2330000000,-42.061195,-38.938709
2340000000,-44.365784,-115.73257
2350000000,-41.665085,-125.95171
2360000000,-44.943134,148.54041
2370000000,-65.91407,141.9892
2380000000,-38.498753,129.37834
2390000000,-38.376793,75.696312
2400000000,-37.113506,28.795975
2410000000,-33.124748,-38.779213
2420000000,-38.108406,-105.90875
2430000000,-36.075455,-146.81078
2440000000,-36.04261,173.27161
2450000000,-38.829571,110.85406
2460000000,-37.851532,69.978233
2470000000,-40.254814,9.8716183
2480000000,-45.397366,-33.81966
2490000000,-43.267315,-39.937447
2500000000,-42.18816,-80.273109
2510000000,-48.139118,-145.74265
2520000000,-40.169357,-119.78757
2530000000,-41.95813,-162.15398
2540000000,-38.785568,151.88371
2550000000,-34.299271,94.77037
2560000000,-35.887379,35.13414
2570000000,-35.676632,-12.617939
2580000000,-38.470604,-69.015457
2590000000,-39.536716,-109.25753
2600000000,-39.949745,-150.80356
2610000000,-37.964962,-176.86436
2620000000,-39.014843,128.0352
2630000000,-40.362782,70.779938
2640000000,-40.705921,43.29607
2650000000,-44.229218,-28.064878
2660000000,-46.782074,-17.935488
2670000000,-44.199963,8.1360645
2680000000,-39.115013,-71.601891
2690000000,-36.261124,-124.20703
2700000000,-35.739765,167.59033
2710000000,-36.641033,119.62991
2720000000,-39.274521,62.945145
2730000000,-39.731796,30.900965
2740000000,-37.30653,-36.747028
2750000000,-43.149685,-39.904449
2760000000,-36.523125,-96.688713
2770000000,-37.869083,-168.26697
2780000000,-47.739998,155.74669
2790000000,-49.31287,133.27734
2800000000,-48.452133,146.55672
2810000000,-42.275509,99.178932
2820000000,-39.45105,44.708805
2830000000,-37.903725,-19.626753
2840000000,-39.098019,-70.662659
