!CSV A.01.01
!Keysight Technologies,P5008B,MY61100146,A.17.20.08
!Date: Saturday, November 18, 2023 14:00:23
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
2000000000,-35.648975,-65.256577
2010000000,-33.374825,-133.37521
2020000000,-35.800915,-173.47241
2030000000,-33.935379,116.7093
2040000000,-38.593037,58.05135
2050000000,-40.730728,-28.944283
2060000000,-53.026157,28.970631
2070000000,-39.893723,-32.484013
2080000000,-44.375023,-105.30479
2090000000,-44.596058,-34.167717
2100000000,-43.613884,-55.245354
2110000000,-40.376812,-121.62178
2120000000,-33.261803,170.82056
2130000000,-36.654804,99.125206
2140000000,-36.106686,44.601521
2150000000,-38.250347,3.7142637
2160000000,-36.840382,-48.532364
2170000000,-33.364834,-102.82713
2180000000,-36.109409,-160.77895
2190000000,-41.137676,86.060974
2200000000,-47.087677,133.13098
2210000000,-48.024281,104.45511
2220000000,-46.426636,77.973465
2230000000,-43.83876,60.319927
2240000000,-39.490067,-16.831198
2250000000,-46.24427,-19.636435
2260000000,-36.612976,-94.695892
2270000000,-35.350559,-154.90137
2280000000,-33.722248,151.33421
2290000000,-34.476246,80.460564
2300000000,-37.392952,21.616638
2310000000,-40.698719,-40.275143
2320000000,-42.990047,-52.099937
2330000000,-42.083923,-38.035652
2340000000,-43.919083,-119.55936
2350000000,-41.901306,-124.92764
2360000000,-44.65416,148.12523
2370000000,-70.367981,159.10368
2380000000,-38.124001,130.1797
2390000000,-37.909298,73.162666
2400000000,-37.325779,28.336802
2410000000,-33.340523,-38.829323
2420000000,-37.160126,-92.941071
2430000000,-36.245216,-145.2495
2440000000,-35.607441,171.73714
2450000000,-38.818783,111.61163
2460000000,-37.981014,66.578201
2470000000,-40.368439,6.769752
2480000000,-45.999542,-29.300234
2490000000,-42.973534,-38.337151
2500000000,-42.483013,-84.407845
2510000000,-47.333458,-148.30293
2520000000,-40.321762,-120.39394
2530000000,-41.807575,-164.48553
2540000000,-39.094872,150.53712
2550000000,-34.492863,96.35569
2560000000,-36.083637,35.667431
2570000000,-35.810318,-12.867329
2580000000,-38.56015,-68.414993
2590000000,-39.373993,-112.76407
2600000000,-40.381645,-152.01241
2610000000,-38.109402,-176.92476
2620000000,-38.702316,129.3696
2630000000,-39.650681,71.047646
2640000000,-40.614178,39.426586
2650000000,-44.391582,-30.823681
2660000000,-46.509155,-12.161326
2670000000,-44.464737,0.094409965
2680000000,-39.0793,-70.010719
2690000000,-36.365337,-126.46052
2700000000,-35.975864,168.19873
2710000000,-36.649048,119.93882
2720000000,-39.744793,63.833324
2730000000,-40.054104,31.124704
2740000000,-37.170288,-33.631897
2750000000,-42.598186,-37.741318
2760000000,-36.383896,-97.673943
2770000000,-37.831699,-169.70651
2780000000,-47.716064,149.44286
2790000000,-48.742241,139.09853
2800000000,-48.229645,144.33542
2810000000,-42.192673,94.74221
2820000000,-40.278404,45.203094
2830000000,-37.640045,-18.178381
2840000000,-39.632694,-68.203491
2850000000,-41.821148,-103.99582
2860000000,-38.62088,-161.83936
2870000000,-42.2593,170.95119
2880000000,-38.52272,118.86373
2890000000,-38.991352,46.667667
2900000000,-44.440029,-5.1965566
2910000000,-42.904472,-56.643162
2920000000,-50.381645,-140.72464
2930000000,-44.79892,-33.47506
2940000000,-42.353462,-99.983414
2950000000,-41.637241,-166.36041
2960000000,-41.88073,159.85701
2970000000,-40.133583,107.74644
2980000000,-43.162994,48.175274
2990000000,-41.232738,13.734727
3000000000,-38.032524,-34.048611
3010000000,-40.216187,-95.893463
3020000000,-37.451649,-155.46358
3030000000,-38.157974,129.6553
3040000000,-44.810623,97.007835
3050000000,-54.835079,93.293579
3060000000,-54.667019,-0.27239621
3070000000,-53.938782,37.148315
3080000000,-43.950226,-50.988487
3090000000,-49.673645,26.103123
3100000000,-44.700764,-48.428589
3110000000,-42.234905,-105.74301
3120000000,-37.215431,-159.46616
3130000000,-36.905205,122.55477
3140000000,-40.310032,53.231167
3150000000,-41.149956,-7.3376956
3160000000,-45.686695,-34.082546
3170000000,-43.832279,-60.160538
3180000000,-42.67178,-125.68563
3190000000,-41.886753,-151.91769
3200000000,-43.653706,130.78981
3210000000,-50.288261,78.899353
3220000000,-51.874092,34.136341
3230000000,-45.749878,114.23233
3240000000,-40.989044,53.661385
3250000000,-39.439072,-27.652702
3260000000,-40.560314,-86.433151
3270000000,-39.965515,-133.60115
3280000000,-45.169437,-161.12648
3290000000,-40.06813,153.26657
3300000000,-40.058159,101.49499
3310000000,-39.754269,42.143173
3320000000,-39.202171,-19.829332
3330000000,-48.702263,-35.916218
3340000000,-48.512955,-88.902382
3350000000,-42.554726,-120.45103
3360000000,-44.845184,-129.51067
3370000000,-42.624142,145.36853
3380000000,-49.210819,143.83167
3390000000,-42.370636,117.1628
3400000000,-41.272903,63.283459
3410000000,-38.015919,13.595304
3420000000,-39.568756,-47.107594
3430000000,-41.229305,-90.465027
3440000000,-40.868996,-128.86049
3450000000,-37.262051,-161.09053
3460000000,-40.05954,133.38037
3470000000,-39.805088,89.056145
3480000000,-42.547173,54.785851
3490000000,-39.059628,20.532402
3500000000,-39.959759,-34.184784
3510000000,-44.300846,-93.972046
3520000000,-43.433853,-77.958336
3530000000,-42.084641,-153.28377
3540000000,-39.663971,-172.79375
3550000000,-39.613049,135.21997
3560000000,-38.207752,91.826347
3570000000,-38.743782,26.949169
3580000000,-39.657642,-14.362459
3590000000,-42.330868,-43.863911
3600000000,-39.393127,-82.352203
3610000000,-40.551731,-138.8502
3620000000,-40.127495,-179.67503
3630000000,-42.662003,125.08681
3640000000,-45.054596,91.072594
3650000000,-41.510849,91.746223
3660000000,-41.266716,41.555431
3670000000,-41.176041,-12.695687
3680000000,-39.773598,-46.73999
3690000000,-38.903469,-93.518967
3700000000,-40.415985,-153.03401
3710000000,-40.094769,160.87607
3720000000,-42.999184,129.97086
3730000000,-39.390995,87.86219
3740000000,-40.822906,31.910532
3750000000,-43.034122,-9.7352953
3760000000,-44.574947,-70.705772
3770000000,-50.098209,-116.41519
3780000000,-54.81757,-102.13017
3790000000,-42.574417,-116.74635
3800000000,-42.834709,-169.68878
3810000000,-41.285137,129.41637
3820000000,-43.669479,98.928741
3830000000,-42.352592,40.90168
3840000000,-41.999081,-10.107316
3850000000,-42.684597,-27.44206
3860000000,-44.985794,-106.46205
3870000000,-44.223125,-133.03052
3880000000,-42.672722,-177.94975
3890000000,-45.553158,126.44878
3900000000,-45.237339,120.05788
3910000000,-51.120304,64.676674
3920000000,-47.522987,71.835663
3930000000,-43.534355,17.848438
3940000000,-43.381073,-39.454185
3950000000,-44.097858,-121.47927
3960000000,-48.45599,-142.05054
3970000000,-49.219955,-161.88928
3980000000,-49.545128,145.65335
3990000000,-44.908127,109.44157
4000000000,-46.497967,71.343735
END

