!CSV A.01.01
!Keysight Technologies,P5008B,MY61100146,A.17.20.08
!Date: Saturday, November 18, 2023 14:01:39
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S12(DB),S12(DEG)
2000000000,-35.604591,-65.15979
2010000000,-33.853676,-131.16048
2020000000,-35.467964,-175.01158
2030000000,-34.04911,116.1251
2040000000,-38.775021,56.906048
2050000000,-40.557678,-33.913395
2060000000,-51.398857,32.673817
2070000000,-41.349464,-38.104828
2080000000,-45.242573,-106.3149
2090000000,-40.708355,-49.472584
2100000000,-44.790306,-39.259495
2110000000,-41.000885,-116.72301
2120000000,-34.132576,171.1494
2130000000,-36.52285,98.010918
2140000000,-35.429218,41.31155
2150000000,-38.29166,4.7639756
2160000000,-36.67696,-45.13435
2170000000,-33.414192,-104.79314
2180000000,-35.714203,-162.89073
2190000000,-41.726429,95.729988
2200000000,-47.820396,115.47491
2210000000,-50.659073,116.04829
2220000000,-46.279388,88.387093
2230000000,-43.010361,53.796436
2240000000,-39.090508,-18.249004
2250000000,-43.731003,-24.647823
2260000000,-36.626621,-99.358444
2270000000,-35.539497,-157.65565
2280000000,-34.41856,149.96387
2290000000,-34.556911,81.579689
2300000000,-37.770466,24.581982
2310000000,-40.810356,-40.93681
2320000000,-42.964939,-52.742962
2330000000,-41.960785,-42.13942
2340000000,-46.060623,-123.872
2350000000,-44.239433,-128.78967
2360000000,-44.455383,164.39006
2370000000,-57.587524,154.51419
2380000000,-38.542736,129.94719
2390000000,-37.6241,78.27021
2400000000,-36.241936,28.044498
2410000000,-33.325558,-40.037163
2420000000,-36.789875,-99.838371
2430000000,-36.087059,-145.48239
2440000000,-35.207317,171.62318
2450000000,-37.974594,110.45815
2460000000,-38.22979,69.326843
2470000000,-39.676483,9.3436184
2480000000,-46.349262,-32.844524
2490000000,-43.434998,-41.268436
2500000000,-41.632786,-84.416573
2510000000,-48.865429,-153.2829
2520000000,-40.004955,-117.69962
2530000000,-41.437752,-163.50337
2540000000,-38.436718,152.03474
2550000000,-33.957458,90.52607
2560000000,-35.732784,31.39463
2570000000,-36.184185,-13.343439
2580000000,-37.499104,-60.70496
2590000000,-39.979443,-110.53098
2600000000,-39.564217,-153.9733
2610000000,-37.868656,-174.85773
2620000000,-39.787056,124.96628
2630000000,-39.61528,77.773689
2640000000,-41.03653,33.660954
2650000000,-45.06279,-19.69413
2660000000,-47.48027,-10.933713
2670000000,-42.837341,-2.4698613
2680000000,-39.949955,-77.182625
2690000000,-35.916698,-130.26959
2700000000,-35.75399,163.15982
2710000000,-36.1171,119.88335
2720000000,-39.680748,62.304195
2730000000,-40.729713,28.749571
2740000000,-37.405083,-32.651222
2750000000,-43.091808,-40.041191
2760000000,-36.341118,-98.518646
2770000000,-37.924469,-173.04771
2780000000,-47.827705,164.39313
2790000000,-48.723003,123.17319
2800000000,-48.723927,148.38033
