Freq(Hz),S21(DB),S21(DEG),"a1,1"(DB),"a1,1"(DEG),"b2,1"(DB),"b2,1"(DEG)
1500000000,-17.553511,130.15828,15.70745,-1.8420248,-3.5893621,57.353306
1567500000,-18.778894,-111.54951,15.583344,-0.55365247,-5.5598583,159.03809
1635000000,-18.709896,7.0721097,15.872511,1.3933364,-4.8792586,-96.026108
1702500000,-20.140223,116.81565,15.958839,-1.0778226,-6.3439655,-4.0839438
1770000000,-20.663599,-106.78089,15.813886,-1.9878901,-6.8489552,110.4707
1837500000,-20.81778,-11.34691,15.852845,0.81600934,-6.637279,-166.13138
1905000000,-20.568375,108.65411,16.099501,0.083330922,-6.5028453,-69.879242
1972500000,-20.205114,-154.78548,16.047741,-1.8700179,-6.7847414,9.9020891
2040000000,-21.218834,-43.397934,15.927414,-0.38194206,-7.0083642,107.12525
2107500000,-19.234594,44.974964,16.036327,-0.54891723,-5.552238,-179.1938
2175000000,-20.687069,157.62531,16.134291,-1.1832988,-6.7055397,-89.063629
2242500000,-18.965454,-96.952522,16.109499,0.16995734,-5.0029521,-1.7720268
2310000000,-21.206707,10.140047,16.247309,-0.84958196,-7.7003975,89.819458
2377500000,-19.974491,129.41316,16.243795,-1.8655921,-5.9993539,-164.98383
2445000000,-21.435431,-108.32476,16.074959,0.0058309529,-7.8087955,-67.462364
2512500000,-21.447081,6.2768421,16.166199,-0.07286299,-7.8502822,31.997961
2580000000,-22.443756,138.15688,16.305239,-1.9288554,-9.0290728,150.04303
2647500000,-21.167894,-106.5117,16.132679,-0.94593114,-7.6445222,-113.88421
2715000000,-23.161945,10.460155,16.114471,-0.048614718,-9.3250151,-12.426412
2782500000,-23.881678,130.45717,16.215845,-1.0942547,-8.9330397,86.786003
2850000000,-26.008238,-113.04665,16.189152,-1.1582592,-14.050179,168.09518
2917500000,-32.854134,-4.6561432,16.182823,-0.87591445,-20.766344,-54.747036
2985000000,-35.850681,-57.025677,16.187599,-1.2530887,-35.91246,136.66483
3052500000,-32.870907,-1.9417317,16.173023,-0.4403463,-27.640238,-106.88027
3120000000,-32.869053,161.619,16.207518,-0.64603174,-16.878736,34.524269
3187500000,-28.33963,-93.314484,16.230806,-1.7327703,-13.676059,113.24752
3255000000,-27.057556,46.447628,16.16383,-1.2709174,-14.187044,-128.43811
3322500000,-26.961876,148.43179,16.180763,-0.17667098,-14.615256,-36.911716
3390000000,-28.26038,-102.02507,16.214212,-0.9330377,-15.735955,69.644852
3457500000,-29.774597,16.575651,16.177544,-1.6765825,-14.35019,162.14774
3525000000,-35.334587,165.97104,16.182024,-0.89532661,-21.799215,-99.368904
3592500000,-40.300365,-97.157677,16.186064,-1.1072018,-39.036743,36.22514
3660000000,-41.596573,163.30074,16.180908,-1.265545,-23.928261,-117.96278
3727500000,-41.546768,-40.532726,16.226116,-0.51341492,-30.789278,0.28439113
3795000000,-31.796482,75.482262,16.142355,-1.6466419,-19.542131,135.26065
3862500000,-35.987354,-147.59364,16.122236,-2.1501544,-22.166094,-115.07115
3930000000,-29.992662,-11.697078,16.288847,-0.046964638,-15.827015,0.92617667
3997500000,-31.05477,117.51755,16.169811,-0.87712097,-18.267656,117.49924
4065000000,-27.78318,-127.86089,16.08877,-2.4608214,-15.050458,-147.88162
4132500000,-28.929626,1.6295167,16.264549,-1.3255649,-15.714359,-32.164917
4200000000,-30.300922,107.44542,16.397263,-1.0694792,-16.400679,57.692738
4267500000,-32.781742,-120.24006,16.392859,-1.2459317,-19.731792,161.26381
4335000000,-32.447781,26.809006,16.370293,-1.3922178,-19.87278,-68.204803
4402500000,-36.860435,170.10773,16.359493,-1.5926111,-24.124292,68.8592
4470000000,-36.189907,-80.961052,16.373655,-1.69858,-23.348806,153.64171
4537500000,-37.879639,84.790916,16.486549,-0.68460441,-25.092575,-49.713669
4605000000,-37.442307,-119.85464,16.379303,-0.62533981,-26.797817,84.958466
4672500000,-32.568214,12.459595,16.394651,-2.9391005,-19.329647,-165.17334
4740000000,-31.498959,140.28427,16.687157,-1.2725874,-17.939951,-47.948689
4807500000,-31.051548,-90.519089,16.654608,-0.00029622135,-18.012003,55.890129
4875000000,-31.55386,26.300446,16.438148,-2.8420799,-18.332916,156.3889
4942500000,-31.09547,155.72145,16.624208,-1.9062811,-17.554329,-89.234192
5010000000,-32.676331,-66.165001,16.593462,-1.0657554,-19.681524,27.789595
5077500000,-31.06872,54.060417,16.502752,-2.4584017,-17.996742,132.40268
5145000000,-33.766857,-174.21951,16.716698,-0.94267946,-19.917612,-116.21973
5212500000,-33.202797,-54.490295,16.752182,-1.1503986,-20.014988,-11.94567
5280000000,-34.78426,55.076992,16.698868,-3.0006969,-22.204468,88.83989
5347500000,-38.291885,-141.74933,16.877125,-1.3140469,-25.010344,-131.68962
5415000000,-39.412254,-25.771912,16.863371,-0.4250131,-25.844969,-38.975079
5482500000,-46.580425,79.590652,16.696718,-2.7814951,-33.72715,57.112076
5550000000,-64.134598,-90.676216,16.731539,-3.0503407,-49.523582,67.31205
5617500000,-58.956242,-10.340505,16.875429,-0.7469117,-45.668194,36.799835
5685000000,-41.832584,-108.72946,16.782181,-1.6762314,-30.20557,168.83096
5752500000,-48.926552,-50.921074,16.756662,-2.5274875,-34.418468,-142.95509
5820000000,-48.626678,177.83403,16.803795,-1.2141135,-35.710098,67.80069
5887500000,-44.259022,-134.12898,16.736767,-2.8720722,-30.44923,104.12161
5955000000,-50.255306,99.397369,16.848755,-2.2965181,-40.654617,-58.700462
6022500000,-48.460487,-164.7887,17.014544,-0.34040502,-32.920353,24.665405
6090000000,-42.650906,-4.3440065,16.931837,-2.5993738,-28.853703,165.5033
6157500000,-42.622231,124.92214,16.986204,-2.9971712,-28.1189,-90.061356
6225000000,-44.995056,-103.01014,17.017069,-0.7916466,-34.421585,37.978081
6292500000,-41.790665,10.168259,16.977238,-2.1872728,-28.20499,136.62454
6360000000,-39.018406,136.6796,17.020628,-2.1030669,-25.900019,-121.98676
6427500000,-43.327595,-114.47761,16.988197,-1.8022349,-32.192406,-27.420553
6495000000,-39.324978,3.182976,16.990002,-2.1510978,-26.159754,74.225189
6562500000,-42.786507,82.773834,17.008713,-1.7477391,-28.0446,133.69026
6630000000,-46.221867,-149.40179,17.013605,-0.76316661,-33.018387,-117.68813
6697500000,-48.191387,-69.557602,17.165268,-1.9578336,-33.408283,-54.634201
6765000000,-56.58736,70.957787,17.221313,-2.8391507,-50.853855,-103.09783
6832500000,-39.604839,125.25787,17.189032,-0.35686305,-26.858526,118.19577
6900000000,-49.846924,-135.89284,17.1621,-0.51519477,-32.487778,-163.79135
6967500000,-42.127388,-17.080414,17.19615,-2.1487358,-27.258165,-77.1269
7035000000,-40.733982,62.07811,17.191257,-1.1873368,-28.6724,-16.477446
