Freq(Hz),S21(DB),S21(DEG),"a1,1"(DB),"a1,1"(DEG),"b2,1"(DB),"b2,1"(DEG)
1500000000,-19.466616,123.73621,15.69505,-1.8979723,-5.7367301,53.095169
1567500000,-19.42396,-109.70021,15.580564,-0.58280575,-6.1580338,162.62627
1635000000,-18.750826,5.7482409,15.87256,1.4182428,-4.5416222,-95.424782
1702500000,-19.261026,106.21075,15.953533,-1.0935596,-5.0723476,-13.844188
1770000000,-23.807446,-127.25476,15.801805,-2.0339513,-10.26146,90.819046
1837500000,-21.393366,-1.6624409,15.851035,0.73859978,-7.8607988,-157.13794
1905000000,-19.226648,106.38418,16.098969,-0.013282543,-5.0728316,-67.462288
1972500000,-19.071453,-163.57979,16.042856,-1.9307584,-5.1731582,3.2494805
2040000000,-23.134314,-68.997009,15.928081,-0.4937841,-9.3942547,80.65139
2107500000,-22.197868,65.019913,16.047194,-0.76413876,-8.2941141,-163.00809
2175000000,-18.955025,161.05803,16.143841,-1.2956032,-5.0860929,-84.678612
2242500000,-18.420166,-112.76885,16.119179,0.075907826,-4.6115217,-15.72125
2310000000,-23.25094,-9.4705744,16.253983,-0.95365685,-9.1570292,69.585091
2377500000,-22.370457,144.98047,16.255785,-2.017205,-8.5192442,-153.55418
2445000000,-19.404053,-113.7289,16.093513,-0.14426275,-5.8117895,-69.969849
2512500000,-22.01302,-6.8765593,16.17457,-0.13990837,-8.0682745,19.557562
2580000000,-24.420303,142.02716,16.309113,-1.9836121,-10.513869,150.75317
2647500000,-20.449253,-101.12405,16.136625,-0.99515003,-6.9343138,-110.36215
2715000000,-21.193247,-0.22344443,16.122446,-0.099531412,-7.5265312,-26.749552
2782500000,-24.878622,106.51848,16.222551,-1.1556864,-11.137371,62.574425
2850000000,-29.595512,-100.12138,16.19191,-1.193501,-16.007856,-162.10077
2917500000,-29.103668,14.616244,16.186634,-0.92763543,-15.464861,-64.806419
2985000000,-37.809669,159.55101,16.195333,-1.3008001,-24.266489,62.183483
3052500000,-35.239937,35.807358,16.174892,-0.45319372,-21.677317,-78.657539
3120000000,-32.488102,109.27363,16.202103,-0.54913437,-18.946611,-22.080364
3187500000,-33.624592,-112.96495,16.228409,-1.6731247,-20.201937,96.767242
3255000000,-28.603474,56.165043,16.16506,-1.2428203,-15.231934,-111.57587
3322500000,-27.2232,157.39708,16.180578,-0.1201898,-13.811824,-26.459562
3390000000,-27.541742,-110.27969,16.214344,-0.85502589,-14.178702,47.536526
3457500000,-35.857265,16.762672,16.178415,-1.5564274,-22.537735,155.90244
3525000000,-36.354324,-161.51462,16.180119,-0.84252918,-23.051193,-39.066124
3592500000,-35.926746,-59.117165,16.188705,-1.0401385,-22.647964,45.423771
3660000000,-44.87529,-74.561035,16.186365,-1.1471316,-31.614643,12.328485
3727500000,-29.506701,-56.556118,16.231567,-0.39508638,-16.283817,13.461955
3795000000,-32.817455,18.153347,16.144878,-1.5881834,-19.68746,68.997307
3862500000,-45.887447,-48.564987,16.12615,-2.0718329,-32.716362,-15.519865
3930000000,-29.38719,-12.051218,16.288982,-0.024546256,-16.191107,6.1285133
3997500000,-30.466177,94.223373,16.170286,-0.8692444,-17.481075,92.612534
4065000000,-31.908115,-125.80117,16.09136,-2.4422541,-18.81073,-146.18626
4132500000,-28.565805,11.315536,16.265654,-1.2932489,-15.474236,-24.312567
4200000000,-27.456268,105.41068,16.397993,-1.067203,-14.319162,51.426785
4267500000,-33.083286,-136.22838,16.399525,-1.1906278,-19.83568,152.50635
4335000000,-32.613873,52.129227,16.381968,-1.2868767,-19.506779,-36.548328
4402500000,-30.636927,147.43607,16.358164,-1.593998,-17.490664,40.116318
4470000000,-35.149689,-114.15107,16.372337,-1.781316,-21.937576,121.87817
4537500000,-38.545918,88.278419,16.498732,-0.64903176,-25.461756,-52.125202
4605000000,-31.358564,-157.1067,16.392389,-0.52765119,-18.270063,43.343594
4672500000,-35.042122,-48.807308,16.396431,-2.930213,-21.766798,133.18909
4740000000,-36.060287,139.89638,16.687296,-1.3026208,-22.806618,-53.668709
4807500000,-31.614958,-101.50312,16.667141,0.095680229,-18.37533,47.172016
4875000000,-32.662868,4.4181128,16.442539,-2.8141043,-19.532465,133.08208
4942500000,-35.892868,156.53671,16.626375,-1.9252658,-22.700115,-91.156448
5010000000,-30.477621,-58.729095,16.599867,-1.0373904,-17.382063,36.444141
5077500000,-29.950117,34.021267,16.502769,-2.4798775,-16.863729,110.09438
5145000000,-35.869755,171.31952,16.713058,-0.99911869,-22.675707,-127.98952
5212500000,-31.043257,-38.247707,16.751047,-1.2073445,-17.832371,3.507869
5280000000,-30.687506,41.33744,16.697659,-3.0666788,-17.329382,64.584915
5347500000,-39.707207,164.16228,16.876726,-1.312537,-26.41049,172.92166
5415000000,-40.984562,-27.464344,16.85973,-0.4600004,-27.829527,-36.93309
5482500000,-37.262512,60.215168,16.691517,-2.8839266,-24.071489,30.463932
5550000000,-47.228615,109.63626,16.729456,-3.0617442,-34.052723,63.422951
5617500000,-41.902687,153.06122,16.87431,-0.77272725,-28.733675,90.653091
5685000000,-37.2174,-132.99759,16.77865,-1.7336701,-24.025105,145.64883
5752500000,-43.746433,-81.433952,16.753468,-2.5760782,-30.699902,179.56914
5820000000,-42.529377,169.11353,16.799389,-1.3094809,-29.495909,53.053116
5887500000,-36.899799,-131.338,16.731817,-2.9538877,-23.849178,93.885414
5955000000,-41.622536,-70.137627,16.844082,-2.3662951,-28.615047,138.54631
6022500000,-50.749542,-65.249527,17.009853,-0.43890396,-37.592186,127.00148
6090000000,-42.092678,-49.511444,16.928511,-2.6861439,-28.89753,123.12614
6157500000,-46.106075,-31.493582,16.983273,-3.11689,-32.98447,123.91277
6225000000,-42.42588,-52.598705,17.014566,-0.85372931,-29.369808,86.669975
6292500000,-37.81459,19.85717,16.974596,-2.2480717,-24.712425,140.43669
6360000000,-39.651997,86.592735,17.017572,-2.179966,-26.568562,-169.96909
6427500000,-44.494072,-53.511383,16.986738,-1.8032836,-31.451099,32.525253
6495000000,-34.27232,16.828497,16.987473,-2.1635163,-21.24505,84.93824
6562500000,-35.63958,72.563828,17.006214,-1.8166485,-22.585787,123.63039
6630000000,-44.546207,73.430672,17.011017,-0.78436679,-31.514246,108.33651
6697500000,-40.771023,61.618717,17.161837,-1.9029762,-27.60322,77.657005
6765000000,-39.340267,102.21233,17.218752,-2.8135235,-26.090343,100.0891
6832500000,-37.801281,129.93256,17.187628,-0.3901177,-24.602724,112.36369
6900000000,-42.096066,159.34323,17.16057,-0.52072263,-28.923256,124.17539
6967500000,-57.558178,-175.00349,17.193377,-2.0954633,-44.469707,130.52713
7035000000,-44.338638,124.93908,17.189226,-1.1795045,-31.22541,53.63982
7102500000,-40.476353,173.52713,17.184662,-1.2056471,-27.423222,84.851219
7170000000,-42.620983,-104.05851,17.198309,-1.3958716,-29.59173,149.06201
7237500000,-53.281456,-46.386177,17.154278,-0.15246379,-40.272137,-169.09579
7305000000,-40.752087,-146.26878,17.179577,-1.4784374,-27.857578,72.094795
7372500000,-37.588318,-103.14241,17.238867,-1.9412438,-24.588764,96.651123
7440000000,-37.68684,-45.433346,17.074759,-0.16344947,-24.834352,139.36722
7507500000,-50.529282,-34.714359,16.939009,-0.13735412,-37.893627,132.4424
7575000000,-41.613049,-67.854614,17.001965,-1.4448359,-28.934082,80.347847
7642500000,-37.229221,-9.2516346,16.975393,-0.24569733,-24.572577,122.51337
7710000000,-39.833004,39.636459,16.965933,-0.76009983,-27.188923,153.50403
7777500000,-46.135223,7.4496346,16.985237,-0.99171627,-33.550861,103.44953
7845000000,-37.472767,42.181637,16.89876,0.22368069,-24.937504,121.85917
7912500000,-40.472473,85.387009,16.765505,-0.75619656,-28.127064,146.87744
7980000000,-47.103237,54.796547,16.855352,-2.0940826,-34.713131,96.706764
8047500000,-37.823486,74.102913,16.777208,0.21161115,-25.349331,100.74116
8115000000,-40.200138,132.27104,16.719448,0.066375524,-27.836655,142.48557
8182500000,-51.057545,109.13651,16.8029,-1.7407746,-38.808102,99.112122
8250000000,-37.843472,107.6702,16.826374,-0.4129183,-25.362259,81.219704
8317500000,-36.511127,176.85597,16.696257,0.099794485,-24.236063,135.02344
8385000000,-41.410851,-100.51811,16.634253,-1.5041106,-29.371326,-162.8009
8452500000,-45.496204,96.568687,16.59462,-0.20100957,-33.363007,18.030239
8520000000,-39.958603,-171.67404,16.525394,0.085813664,-28.023933,93.113739
8587500000,-40.212982,-97.48101,16.612431,-1.8868767,-28.258135,147.10098
8655000000,-51.50185,-131.69911,16.61285,-0.54365557,-39.476231,97.064659
8722500000,-45.691006,-95.662231,16.543978,0.53673154,-33.819378,116.80261
8790000000,-43.385094,-64.797401,16.587088,-1.4739329,-31.490208,127.95279
8857500000,-41.416359,-72.00853,16.596737,-0.96036935,-29.485981,103.47488
8925000000,-37.884659,-35.245834,16.466681,0.2311542,-26.009871,124.2729
8992500000,-42.266216,34.687363,16.402609,-1.2058287,-30.585247,175.42142
9060000000,-52.041439,-68.168541,16.356306,-0.60784185,-40.381966,55.012848
9127500000,-38.526539,-13.717473,16.363571,-0.02955696,-26.846144,93.144745
9195000000,-38.049629,52.94915,16.393736,-1.3467882,-26.433916,140.53845
9262500000,-44.573551,126.04744,16.348192,-0.62540001,-32.856575,-163.51999
9330000000,-45.033005,-3.6795902,16.377432,0.72426701,-33.350159,51.646656
9397500000,-39.061295,53.823948,16.424067,-0.46196032,-27.466156,89.619072
9465000000,-41.137833,117.22961,16.357233,-0.74989116,-29.484316,135.35898
9532500000,-48.035019,159.72975,16.248884,0.52187926,-36.611877,162.56256
9600000000,-47.627651,109.15943,16.20907,-0.30829191,-36.302437,93.076912
9667500000,-49.875942,117.59993,16.134951,-0.30955276,-38.606533,84.022354
9735000000,-43.379848,131.29549,16.19585,1.0135782,-32.129139,81.372627
9802500000,-38.757362,-171.36482,16.270643,-0.34992993,-27.437422,119.78868
9870000000,-39.968472,-113.55031,16.089048,-0.52275062,-28.826509,159.96593
9937500000,-46.347004,35.664734,16.149548,1.4384711,-35.172676,-66.382835
10005000000,-39.117416,156.27292,16.503443,0.46659711,-27.630795,35.36285
10072500000,-39.558605,-123.54868,16.318804,-0.30504808,-28.184481,97.328476
10140000000,-45.186226,-24.315334,16.259483,1.0825069,-33.946457,-178.85193
10207500000,-52.769142,115.46454,16.285269,0.64226294,-41.531502,-57.716385
10275000000,-44.919514,-82.869232,16.113632,-0.025106864,-33.761055,86.455994
10342500000,-44.169838,-28.964237,16.159552,1.4991348,-33.125946,124.40038
10410000000,-51.75425,-40.865555,16.337261,1.3147867,-40.439098,93.501564
10477500000,-46.624519,-41.900524,16.102461,-0.41960657,-35.406792,74.887825
10545000000,-56.339176,-42.623573,16.046288,1.3422186,-45.561829,58.245853
10612500000,-47.766171,-19.389757,16.333303,2.097388,-36.473808,62.605721
10680000000,-43.197838,46.573696,16.172747,-0.16774727,-31.954344,111.17291
10747500000,-50.894875,136.45546,16.022697,0.37277129,-40.243141,-176.27873
10815000000,-46.56546,-41.847298,16.296436,2.3890917,-35.432533,-11.420788
10882500000,-43.405998,60.510014,16.186846,0.135326,-32.360939,72.666161
10950000000,-43.714211,151.6194,16.058702,0.79929811,-32.922718,146.50171
11017500000,-50.446377,-100.39892,16.340248,2.5791581,-39.313435,-121.67995
11085000000,-50.900291,55.22596,16.176561,0.038072068,-39.967068,14.516348
11152500000,-47.039547,129.44247,16.056747,0.548482,-36.343998,71.314079
11220000000,-48.868298,167.79686,16.284382,3.0514696,-37.867615,93.829475
11287500000,-49.146595,-173.90495,16.253897,0.9132629,-38.034397,93.92205
11355000000,-51.073147,-149.33775,16.023724,0.035821542,-40.503212,100.78822
11422500000,-55.629292,147.75058,16.198648,2.26053,-44.800499,20.405012
11490000000,-45.484455,168.46507,16.256638,1.0637749,-34.461708,23.66011
11557500000,-44.668503,-130.22067,16.111607,0.33896273,-34.04549,67.031204
11625000000,-48.014957,-23.890223,16.228333,2.6418087,-37.104366,157.17006
11692500000,-50.551632,105.91718,16.26709,1.1778153,-39.632935,-90.410919
11760000000,-47.556793,-149.28152,16.076571,-0.3297013,-37.050381,-6.1638546
11827500000,-46.26165,-42.732143,16.195387,2.6578078,-35.360439,84.922462
11895000000,-59.053635,23.539383,16.286739,1.8168961,-48.126179,135.97748
11962500000,-52.419876,-113.13242,16.160362,-0.089603208,-41.922009,-21.82324
12030000000,-50.425751,-19.974689,16.118282,2.2631156,-39.715214,55.844414
12097500000,-52.275921,-17.005949,16.067997,1.7348188,-41.802544,42.123566
12165000000,-46.793816,-7.6664152,16.113075,0.0073677166,-36.235497,30.688074
12232500000,-45.702858,76.292946,16.114754,2.6891959,-35.03944,100.98914
12300000000,-50.896008,-160.11896,16.085363,2.4172444,-40.483444,-153.69487
12367500000,-44.645653,-17.071835,16.120956,-0.45572186,-34.05661,-31.489065
12435000000,-45.141476,79.301765,16.129395,1.8413539,-34.600979,50.350845
12502500000,-50.341118,-146.39771,16.270151,2.701503,-39.648232,167.65813
12570000000,-46.826553,24.645363,16.152693,-0.02812692,-36.328297,-41.107452
12637500000,-43.189072,125.57023,16.1434,1.9677472,-32.700699,43.543133
12705000000,-50.50729,-134.41991,16.267071,2.9769919,-39.763676,128.22662
12772500000,-47.309536,58.806316,16.13311,-0.18341519,-36.85247,-59.474056
12840000000,-44.214954,161.29887,16.082321,1.3892847,-33.556679,26.369167
12907500000,-51.393986,-56.175892,16.072083,3.5229814,-40.932892,155.19063
12975000000,-47.660248,80.249779,15.944104,0.56398445,-37.49609,-91.32518
13042500000,-46.626602,-167.28677,15.926121,0.38243577,-36.176476,4.2651596
13110000000,-49.166187,-29.59878,16.071659,3.5148561,-38.890209,129.13133
13177500000,-50.332684,107.69811,15.955768,1.3504947,-40.290035,-115.40319
13245000000,-49.565384,-112.36234,15.926738,0.095596083,-39.324009,6.1467657
13312500000,-52.400013,6.2452621,16.098043,3.6261356,-42.169102,111.19041
13380000000,-51.979763,-108.28594,15.926564,1.2486453,-41.853916,-23.800495
