Freq(Hz),S21(DB),S21(DEG)
3950000000,-41.456226,152.23575
3954636591.4787,-44.087856,112.81844
3959273182.9574,-50.745232,131.56355
3963909774.4361,-46.448181,98.432114
3968546365.9148,-43.51865,70.513939
3973182957.3935,-44.287949,35.57972
3977819548.8722,-43.159096,-6.2481174
3982456140.3509,-45.939362,-48.277992
3987092731.8296,-44.853943,-47.025909
3991729323.3083,-48.954384,-96.218155
3996365914.787,-44.39603,-67.720856
4001002506.2657,-39.721142,-127.00349
4005639097.7444,-39.779705,-178.37859
4010275689.2231,-40.700138,139.36882
4014912280.7018,-39.552422,103.1202
4019548872.1805,-41.400738,60.265915
4024185463.6591,-41.777046,18.322239
4028822055.1378,-47.044117,-10.36962
4033458646.6165,-41.104618,-5.7593708
4038095238.0952,-39.627544,-63.588364
4042731829.5739,-38.069839,-118.60348
4047368421.0526,-38.947979,171.74756
4052005012.5313,-46.546215,136.43089
4056641604.01,-50.800613,145.0332
4061278195.4887,-42.41415,121.37402
4065914786.9674,-42.733074,64.770485
4070551378.4461,-44.163258,22.867931
4075187969.9248,-45.015976,-12.279804
4079824561.4035,-50.609337,-70.571106
4084461152.8822,-55.858253,22.000992
4089097744.3609,-43.9907,-30.594921
4093734335.8396,-43.708824,-72.028717
4098370927.3183,-37.676186,-116.18862
4103007518.797,-38.543289,179.5076
4107644110.2757,-42.847221,141.59201
4112280701.7544,-43.474823,143.25145
4116917293.2331,-41.231251,113.28481
4121553884.7118,-41.028816,76.575775
4126190476.1905,-39.92149,49.104225
4130827067.6692,-38.408741,16.304655
4135463659.1479,-39.572906,-28.109734
4140100250.6266,-38.787342,-62.08498
4144736842.1053,-41.499195,-105.20029
4149373433.584,-44.407169,-122.82792
4154010025.0627,-48.147156,169.5517
4158646616.5414,-45.549984,-60.003944
4163283208.0201,-36.941074,-135.54741
4167919799.4987,-36.501232,158.31935
4172556390.9774,-39.216103,112.72961
4177192982.4561,-41.425488,78.588036
4181829573.9348,-45.009853,80.857285
4186466165.4135,-40.163754,59.856636
4191102756.8922,-41.106163,22.676344
4195739348.3709,-38.669392,-2.0195143
4200375939.8496,-38.217888,-43.080589
4205012531.3283,-37.451027,-80.090431
4209649122.807,-37.708824,-116.65138
4214285714.2857,-38.037193,-161.20993
4218922305.7644,-39.727463,155.50691
4223558897.2431,-46.993893,107.45496
4228195488.7218,-47.293259,152.24008
4232832080.2005,-47.59898,116.05116
4237468671.6792,-44.363903,95.461403
4242105263.1579,-43.488083,55.140591
4246741854.6366,-43.461586,31.834641
4251378446.1153,-42.769211,-15.1287
4256015037.594,-47.593475,-61.739857
4260651629.0727,-47.563774,-1.5673512
4265288220.5514,-41.472084,-53.594261
4269924812.0301,-39.495564,-87.092117
4274561403.5088,-37.004715,-132.32932
4279197994.9875,-36.64695,177.75978
4283834586.4662,-38.395622,134.85533
4288471177.9449,-39.71603,97.420959
4293107769.4236,-40.618279,65.805351
4297744360.9023,-47.868275,25.308189
4302380952.381,-42.874676,29.968145
4307017543.8596,-43.871014,7.1636877
4311654135.3383,-43.021141,-35.619846
4316290726.817,-45.617085,-82.93924
4320927318.2957,-49.288708,-133.51236
4325563909.7744,-64.513092,97.453789
4330200501.2531,-44.207466,-34.306763
4334837092.7318,-40.221542,-77.760025
4339473684.2105,-36.978573,-140.84782
4344110275.6892,-37.501484,170.61224
4348746867.1679,-40.889038,132.54047
4353383458.6466,-41.077839,118.3171
4358020050.1253,-39.956196,92.482185
4362656641.604,-38.372208,58.578716
4367293233.0827,-38.614185,28.127321
4371929824.5614,-37.350567,-7.167696
4376566416.0401,-36.418667,-47.397583
4381203007.5188,-38.287613,-94.579826
4385839598.9975,-41.010864,-117.92951
4390476190.4762,-39.609848,-157.56378
4395112781.9549,-41.448635,164.31996
4399749373.4336,-45.826805,126.88605
4404385964.9123,-50.538303,102.93221
4409022556.391,-54.533295,144.16544
4413659147.8697,-48.295414,132.367
4418295739.3484,-43.043907,97.63176
4422932330.8271,-43.554924,29.115643
4427568922.3058,-53.487919,51.072052
4432205513.7845,-42.610806,44.590393
4436842105.2632,-38.189472,2.3175206
4441478696.7419,-36.494556,-54.182167
4446115288.2206,-37.633701,-91.21122
4450751879.6992,-35.744408,-128.72078
4455388471.1779,-36.421787,-172.04936
4460025062.6566,-37.581913,156.51289
4464661654.1353,-36.706875,116.12878
4469298245.614,-38.617767,77.270081
4473934837.0927,-39.969414,55.537643
