Freq(Hz),"A,1"(DB),"A,1"(DEG)
3950000000,-15.417683,64.187073
3954636591.4787,-16.654106,48.409016
3959273182.9574,-16.106691,37.528522
3963909774.4361,-15.299868,16.65465
3968546365.9148,-15.272923,0.65247029
3973182957.3935,-13.917659,-18.92186
3977819548.8722,-13.786123,-44.479866
3982456140.3509,-14.502331,-61.041443
3987092731.8296,-14.442945,-72.840973
3991729323.3083,-13.238435,-85.753433
3996365914.787,-12.71049,-106.80257
4001002506.2657,-12.813771,-120.23845
4005639097.7444,-12.063372,-134.47551
4010275689.2231,-12.069924,-154.81262
4014912280.7018,-12.302102,-165.78052
4019548872.1805,-11.573963,176.20999
4024185463.6591,-11.63001,155.28795
4028822055.1378,-12.245131,139.24425
4033458646.6165,-11.535858,118.72192
4038095238.0952,-12.259281,93.865532
4042731829.5739,-13.268736,73.364594
4047368421.0526,-13.910248,55.923695
4052005012.5313,-13.72052,38.618404
4056641604.01,-13.039738,12.23279
4061278195.4887,-13.542521,-11.88745
4065914786.9674,-13.441671,-34.163433
4070551378.4461,-13.236522,-55.010357
4075187969.9248,-13.142726,-77.530083
4079824561.4035,-13.129416,-98.174774
4084461152.8822,-13.393517,-118.03236
4089097744.3609,-14.091935,-134.70868
4093734335.8396,-13.91785,-148.99593
4098370927.3183,-14.26004,-166.82733
4103007518.797,-14.674243,-176.99658
4107644110.2757,-14.680089,166.04977
4112280701.7544,-15.249661,149.02806
4116917293.2331,-16.044935,135.59949
4121553884.7118,-16.31612,113.49181
4126190476.1905,-18.580095,94.848984
4130827067.6692,-20.221611,89.092323
4135463659.1479,-20.207464,62.505936
4140100250.6266,-22.038557,37.335125
4144736842.1053,-25.628073,25.087061
4149373433.584,-25.013151,8.6253576
4154010025.0627,-25.575348,-23.716616
4158646616.5414,-25.964893,-40.59531
4163283208.0201,-22.995773,-67.252411
4167919799.4987,-21.653332,-93.418312
4172556390.9774,-19.61558,-117.87045
4177192982.4561,-19.547716,-142.84688
4181829573.9348,-18.599682,-165.6012
4186466165.4135,-18.436834,166.17046
4191102756.8922,-19.572121,143.32108
4195739348.3709,-19.238897,118.9029
4200375939.8496,-19.079088,86.706657
4205012531.3283,-19.853525,48.820965
4209649122.807,-20.689419,15.654792
4214285714.2857,-20.186573,-12.656272
4218922305.7644,-18.49902,-36.595024
4223558897.2431,-16.727596,-64.104103
4228195488.7218,-15.401834,-89.939613
4232832080.2005,-14.904249,-107.93465
4237468671.6792,-13.777978,-122.88708
4242105263.1579,-12.490072,-141.85027
4246741854.6366,-11.761312,-161.83601
4251378446.1153,-11.75201,-177.38499
4256015037.594,-11.203013,164.14897
