Freq(Hz),"A,1"(DB),"A,1"(DEG),S21(DB),S21(DEG)
3950000000,-14.612244,-78.222992,-42.119377,40.302689
3954636591.4787,-14.833048,-94.684448,-41.909504,-19.07984
3959273182.9574,-14.175189,-108.9548,-43.462944,-67.748199
3963909774.4361,-13.786655,-132.61549,-42.514145,-109.95023
3968546365.9148,-12.834872,-151.98541,-44.285988,-161.22774
3973182957.3935,-12.088885,-177.98688,-50.217144,113.15759
3977819548.8722,-11.957601,158.52924,-60.732563,-141.26135
3982456140.3509,-12.237029,136.48602,-48.573803,165.82161
3987092731.8296,-13.187946,118.48809,-43.74884,126.83396
3991729323.3083,-12.404035,108.72648,-40.487633,70.671402
3996365914.787,-12.117535,88.38588,-38.061642,17.204475
4001002506.2657,-12.404965,72.66008,-37.785488,-44.877415
4005639097.7444,-12.116912,55.610744,-39.612785,-110.5364
4010275689.2231,-13.212002,35.707767,-47.511955,-155.86539
4014912280.7018,-13.844961,27.933752,-50.899223,-111.91826
4019548872.1805,-13.710057,18.530897,-42.753437,-155.93246
4024185463.6591,-12.328754,3.0028434,-41.972855,162.47717
4028822055.1378,-12.499333,-15.294631,-41.861279,128.17683
4033458646.6165,-12.177376,-38.739513,-39.142303,89.63102
4038095238.0952,-13.221693,-59.924564,-39.501469,42.956692
4042731829.5739,-13.347604,-75.027802,-38.236702,11.419522
4047368421.0526,-13.259521,-96.991837,-36.289394,-40.914124
4052005012.5313,-13.325713,-120.81143,-38.292664,-99.235405
4056641604.01,-13.368025,-144.84789,-40.459137,-122.65763
4061278195.4887,-13.132134,-167.63857,-41.875648,-167.86897
4065914786.9674,-13.106447,168.30156,-40.900841,171.96565
4070551378.4461,-13.155739,144.43723,-40.797977,129.18059
4075187969.9248,-13.020013,120.91396,-38.858002,89.711281
4079824561.4035,-14.062065,101.10901,-39.82011,48.408497
4084461152.8822,-13.898388,85.773621,-40.163586,3.255738
4089097744.3609,-14.050788,69.310959,-38.772293,-35.367558
