BEGIN CH1_DATA
Freq(Hz),"a1,1"(DB),"a1,1"(DEG)
1500000000,15.704408,-1.8479946
1567500000,15.582046,-0.54528785
1635000000,15.873069,1.414237
1702500000,15.958361,-1.0830789
1770000000,15.813416,-1.9953361
1837500000,15.854992,0.81043613
1905000000,16.099884,0.1107493
1972500000,16.046707,-1.8659625
2040000000,15.928772,-0.38297638
2107500000,16.037645,-0.56105822
2175000000,16.135052,-1.1883693
2242500000,16.112623,0.1469219
2310000000,16.248878,-0.84756184
2377500000,16.246473,-1.8974236
2445000000,16.080647,-0.038830575
2512500000,16.16778,-0.082653686
2580000000,16.305668,-1.9307082
2647500000,16.133369,-0.95576727
2715000000,16.115582,-0.043349609
2782500000,16.215551,-1.0970179
2850000000,16.189713,-1.1621795
2917500000,16.183041,-0.87678832
2985000000,16.184435,-1.2340171
3052500000,16.169714,-0.4307332
3120000000,16.205416,-0.63038415
3187500000,16.230074,-1.7480005
3255000000,16.163071,-1.24316
3322500000,16.180019,-0.14666873
3390000000,16.213476,-0.91036785
3457500000,16.177256,-1.6587917
3525000000,16.181757,-0.91266012
3592500000,16.186405,-1.111245
3660000000,16.182463,-1.2443759
3727500000,16.227089,-0.50122529
3795000000,16.142435,-1.648187
3862500000,16.121225,-2.1625266
3930000000,16.287924,-0.060538121
3997500000,16.168699,-0.88822788
4065000000,16.085131,-2.5075233
4132500000,16.259937,-1.3794631
4200000000,16.393408,-1.1228644
4267500000,16.390198,-1.2880646
4335000000,16.366957,-1.4481101
4402500000,16.358162,-1.6184175
4470000000,16.3734,-1.7333897
4537500000,16.48753,-0.70412856
4605000000,16.382929,-0.61501819
4672500000,16.396832,-2.9452822
4740000000,16.687613,-1.2783784
4807500000,16.656851,0.020462349
4875000000,16.439802,-2.8426502
4942500000,16.625237,-1.9039561
5010000000,16.593897,-1.0525594
5077500000,16.506361,-2.4417486
5145000000,16.720463,-0.91606426
5212500000,16.750515,-1.1782088
5280000000,16.698753,-3.0129001
5347500000,16.878387,-1.2885789
5415000000,16.864384,-0.40419811
5482500000,16.696997,-2.784579
5550000000,16.732971,-3.0256777
5617500000,16.876835,-0.73856324
5685000000,16.782534,-1.6744639
5752500000,16.756861,-2.5196469
5820000000,16.804775,-1.2001365
5887500000,16.736652,-2.8953857
5955000000,16.848927,-2.2997994
6022500000,17.015293,-0.3386977
6090000000,16.93272,-2.6057234
6157500000,16.986403,-3.0099876
6225000000,17.017811,-0.79564726
6292500000,16.977787,-2.184777
6360000000,17.020948,-2.0975709
6427500000,16.98855,-1.8038288
6495000000,16.990183,-2.1544862
6562500000,17.008757,-1.7412736
6630000000,17.014532,-0.77785778
6697500000,17.165428,-1.9770726
6765000000,17.221548,-2.849786
6832500000,17.189838,-0.36179316
6900000000,17.16358,-0.53482497
6967500000,17.196648,-2.1579132
7035000000,17.192305,-1.214213
7102500000,17.1873,-1.2301542
7170000000,17.201387,-1.4178934
7237500000,17.158096,-0.20349443
7305000000,17.184526,-1.570631
7372500000,17.242414,-2.0309093
7440000000,17.077559,-0.18999769
7507500000,16.942968,-0.19060448
7575000000,17.005295,-1.5306315
7642500000,16.979593,-0.32228148
7710000000,16.967354,-0.78559911
7777500000,16.986372,-0.98727214
7845000000,16.900583,0.17732742
7912500000,16.767361,-0.82951969
7980000000,16.854362,-2.1167583
8047500000,16.776165,0.21987312
8115000000,16.718557,0.066912018
8182500000,16.803635,-1.7686491
8250000000,16.825756,-0.39123204
8317500000,16.695251,0.13547364
8385000000,16.633123,-1.4962379
8452500000,16.594551,-0.20834132
8520000000,16.524454,0.11123183
8587500000,16.612341,-1.864917
8655000000,16.612743,-0.50972873
8722500000,16.544369,0.58545518
8790000000,16.587326,-1.435738
8857500000,16.597755,-0.92592788
8925000000,16.466639,0.29285386
8992500000,16.402761,-1.1496271
9060000000,16.357599,-0.58765352
9127500000,16.363747,-0.0036522502
9195000000,16.394224,-1.3034301
9262500000,16.349049,-0.60631329
9330000000,16.378548,0.72112232
9397500000,16.424482,-0.45300728
9465000000,16.357483,-0.74440992
9532500000,16.248549,0.53894806
9600000000,16.208754,-0.30331552
9667500000,16.135386,-0.32280877
9735000000,16.196798,1.0008899
9802500000,16.271133,-0.35704011
9870000000,16.089153,-0.53577405
9937500000,16.149591,1.436191
10005000000,16.505171,0.4766345
10072500000,16.320217,-0.31750709
10140000000,16.261827,1.0628527
10207500000,16.285503,0.62397552
10275000000,16.114418,-0.033451177
10342500000,16.159945,1.491449
10410000000,16.338436,1.310848
10477500000,16.105833,-0.41580188
10545000000,16.049164,1.3370118
10612500000,16.335058,2.0895746
10680000000,16.173557,-0.17278431
10747500000,16.024851,0.38172179
10815000000,16.299919,2.3975265
10882500000,16.187994,0.13185984
10950000000,16.060673,0.79134899
11017500000,16.340508,2.5655863
11085000000,16.178368,0.042941257
11152500000,16.059258,0.57439023
