Freq(Hz),S21(DB),S21(DEG)
4000000000,-44.051739,42.095814
4018181818.1818,-42.063622,-41.611706
4036363636.3636,-52.239075,104.09258
4054545454.5455,-46.286877,116.26598
4072727272.7273,-48.255264,-142.47188
4090909090.9091,-42.210964,63.779926
4109090909.0909,-50.34338,2.2674007
4127272727.2727,-45.191685,-108.55316
4145454545.4545,-43.938049,-138.42218
4163636363.6364,-45.020367,117.95678
4181818181.8182,-40.705063,70.271805
4200000000,-40.100262,-18.287477
4218181818.1818,-42.216068,-89.101471
4236363636.3636,-37.39217,-161.72014
4254545454.5455,-38.92305,123.40013
4272727272.7273,-39.757187,19.544672
4290909090.9091,-38.477978,-82.570511
4309090909.0909,-37.124653,-154.22858
4327272727.2727,-34.252792,139.59756
4345454545.4545,-35.395111,80.213951
4363636363.6364,-37.277454,20.872265
4381818181.8182,-41.368587,-51.424706
4400000000,-38.840706,-124.39915
4418181818.1818,-43.6604,151.87866
4436363636.3636,-40.959507,53.72739
4454545454.5455,-43.349373,-49.50193
4472727272.7273,-41.87112,-91.89164
4490909090.9091,-37.805622,-178.39052
4509090909.0909,-35.814529,122.86536
4527272727.2727,-33.615631,46.883678
4545454545.4545,-31.989573,-22.731426
4563636363.6364,-32.43536,-103.64448
4581818181.8182,-34.670731,176.83711
4600000000,-33.649677,91.68676
4618181818.1818,-33.773922,12.70193
4636363636.3636,-36.5527,-78.621185
4654545454.5455,-37.838612,-146.13138
4672727272.7273,-38.13509,177.5571
4690909090.9091,-35.906578,92.171768
4709090909.0909,-33.880161,21.696426
4727272727.2727,-33.262642,-60.751957
4745454545.4545,-36.49453,-128.20851
4763636363.6364,-33.67836,153.80362
4781818181.8182,-34.868908,76.587143
4800000000,-33.726299,0.8468408
4818181818.1818,-35.621368,-75.034081
4836363636.3636,-35.236942,-171.59303
4854545454.5455,-33.612694,131.9883
4872727272.7273,-33.036224,49.45932
4890909090.9091,-34.738159,-18.810427
4909090909.0909,-32.929379,-88.006302
4927272727.2727,-31.768839,-163.96545
4945454545.4545,-31.342726,116.25693
4963636363.6364,-33.928032,45.684464
4981818181.8182,-34.799038,-34.209728
5000000000,-39.53167,-100.69774
5018181818.1818,-38.613213,178.04622
5036363636.3636,-39.589973,101.82057
5054545454.5455,-33.207737,33.180233
5072727272.7273,-33.239456,-32.477776
5090909090.9091,-32.524052,-115.07475
5109090909.0909,-31.964022,166.69998
5127272727.2727,-34.741375,101.23348
5145454545.4545,-36.333088,31.309889
5163636363.6364,-34.718376,-45.33802
5181818181.8182,-34.57539,-111.73682
5200000000,-35.048111,-179.73976
5218181818.1818,-33.420235,97.623047
5236363636.3636,-32.270061,8.9912252
5254545454.5455,-33.10289,-64.33699
5272727272.7273,-33.131428,-155.06883
5290909090.9091,-33.840622,145.98917
5309090909.0909,-32.568115,83.02388
5327272727.2727,-31.929283,13.792707
5345454545.4545,-33.941181,-61.254013
5363636363.6364,-34.505516,-134.53177
5381818181.8182,-36.870934,146.30933
5400000000,-37.272415,98.405388
5418181818.1818,-36.792603,7.0658145
5436363636.3636,-32.988453,-78.694344
5454545454.5455,-32.342197,-152.74377
5472727272.7273,-33.151329,132.73378
5490909090.9091,-32.988873,50.987476
5509090909.0909,-32.498886,-5.6002989
5527272727.2727,-33.223038,-67.893707
5545454545.4545,-32.801517,-151.42612
5563636363.6364,-33.954323,134.77611
5581818181.8182,-37.278053,58.052082
5600000000,-36.653919,-32.957958
5618181818.1818,-37.840122,-111.29604
5636363636.3636,-36.889874,-168.86766
5654545454.5455,-35.316338,116.56958
5672727272.7273,-34.816868,52.221272
5690909090.9091,-33.54792,-27.629032
5709090909.0909,-35.737175,-85.183487
5727272727.2727,-34.81139,-161.25371
5745454545.4545,-35.382252,128.48792
5763636363.6364,-36.090111,50.067284
5781818181.8182,-35.784157,-15.600622
5800000000,-35.721951,-102.07635
END

