Freq(Hz),S12(DB),S12(DEG)
1500000000,-39.033764,44.398758
1502500000,-39.103134,17.449274
1505000000,-42.005909,-10.791511
1507500000,-44.63847,-45.40667
1510000000,-51.286308,176.67265
1512500000,-51.697193,92.043404
1515000000,-52.939026,86.587791
1517500000,-59.327209,143.64835
1520000000,-43.771893,163.0537
1522500000,-38.712891,140.61571
1525000000,-35.43644,118.52171
1527500000,-34.60001,93.292084
1530000000,-34.423435,77.646332
1532500000,-33.958862,68.376694
1535000000,-33.729042,54.654312
1537500000,-33.913612,40.191193
1540000000,-34.310448,26.728106
1542500000,-36.438873,17.974537
1545000000,-37.748337,24.866398
1547500000,-36.672455,27.789827
1550000000,-35.964939,16.044586
1552500000,-38.587109,14.457402
1555000000,-36.659485,20.735077
1557500000,-35.146431,16.480654
1560000000,-34.577152,1.1596805
1562500000,-35.093891,-6.9937921
1565000000,-34.694439,-13.394654
1567500000,-36.352173,-31.031534
1570000000,-38.551315,-33.648376
1572500000,-36.718143,-21.70241
1575000000,-37.674107,-37.936996
1577500000,-38.95842,-35.019501
1580000000,-38.364613,-29.750277
1582500000,-37.196285,-45.498348
1585000000,-38.307281,-53.109909
1587500000,-39.336899,-49.958721
1590000000,-38.666412,-59.806339
1592500000,-40.04908,-71.425186
1595000000,-41.453678,-63.067078
1597500000,-39.88784,-77.273705
1600000000,-42.492954,-89.72271
1602500000,-42.263443,-104.10521
1605000000,-47.39489,-145.95575
1607500000,-52.509266,77.866135
1610000000,-46.005665,-15.789456
1612500000,-50.34404,-17.504614
1615000000,-43.599205,12.428661
1617500000,-42.395531,-14.741983
1620000000,-41.037453,-7.6584182
1622500000,-37.743935,-22.770554
1625000000,-39.937778,-44.535263
1627500000,-41.280811,-29.702181
1630000000,-37.555454,-30.294361
1632500000,-36.507751,-45.833622
1635000000,-37.091969,-51.251438
1637500000,-37.002747,-63.078041
1640000000,-36.620171,-58.634457
1642500000,-34.942448,-70.597458
1645000000,-35.360374,-87.383224
1647500000,-37.769001,-94.270607
1650000000,-38.061287,-86.821999
1652500000,-36.901382,-92.23278
1655000000,-36.669395,-99.949776
1657500000,-36.165051,-110.35284
1660000000,-38.085567,-119.23572
1662500000,-38.880459,-129.81259
1665000000,-42.711777,-120.43417
1667500000,-41.566238,-94.651787
1670000000,-38.585148,-92.466896
1672500000,-36.912971,-103.33809
1675000000,-36.46376,-114.03433
1677500000,-36.089325,-121.24112
1680000000,-36.59219,-124.63226
1682500000,-35.310173,-128.75072
1685000000,-35.280231,-136.98972
1687500000,-34.417747,-144.11794
1690000000,-33.775497,-153.86646
1692500000,-32.906395,-167.10176
1695000000,-33.17205,169.01196
1697500000,-34.373249,156.14232
1700000000,-35.657131,138.60875
1702500000,-37.467484,126.44955
1705000000,-42.436607,93.932564
1707500000,-45.777122,136.56798
1710000000,-43.23415,124.56091
1712500000,-44.260521,90.471642
1715000000,-47.534702,44.181858
1717500000,-49.712456,-24.51977
1720000000,-46.968678,-55.469318
1722500000,-43.081993,-94.234383
1725000000,-41.351757,-115.83606
1727500000,-40.104031,-128.20232
1730000000,-39.364532,-143.71635
1732500000,-38.497128,-156.32358
1735000000,-39.478542,-167.36597
1737500000,-37.386543,-166.24579
1740000000,-37.665291,169.39677
1742500000,-38.291355,165.65068
1745000000,-37.686298,161.19627
1747500000,-36.999237,134.76254
1750000000,-40.442242,112.95271
1752500000,-44.558533,120.88316
1755000000,-47.475903,141.14685
1757500000,-44.857273,143.2778
1760000000,-43.859592,148.37437
1762500000,-42.236065,150.93869
1765000000,-43.203728,124.53872
1767500000,-43.859592,145.94434
1770000000,-42.488972,122.25808
1772500000,-48.860958,96.225685
1775000000,-47.490314,161.39902
1777500000,-46.804764,172.21786
1780000000,-41.016392,162.32661
1782500000,-41.702915,150.74257
1785000000,-40.334717,142.73518
1787500000,-40.48325,135.42798
1790000000,-39.893059,141.11844
1792500000,-37.731739,142.67543
1795000000,-34.817101,118.04607
1797500000,-35.517681,91.121063
1800000000,-37.502155,80.931435
1802500000,-38.62072,73.189812
1805000000,-38.459103,63.826744
1807500000,-41.93121,56.558475
1810000000,-40.877914,66.828438
1812500000,-40.349216,50.384014
1815000000,-41.663372,31.344551
1817500000,-45.313435,-1.7324572
1820000000,-50.178028,88.491959
1822500000,-47.436291,76.361
1825000000,-46.775234,58.97673
1827500000,-49.588882,89.944649
1830000000,-44.034931,87.687569
1832500000,-42.378925,60.213001
1835000000,-43.302509,47.288849
1837500000,-45.778595,48.737881
1840000000,-44.477787,58.593494
1842500000,-43.123234,53.428146
1845000000,-42.648048,35.643238
1847500000,-45.228069,21.003736
1850000000,-47.678143,60.830158
1852500000,-42.608677,42.254135
1855000000,-41.599388,30.013927
1857500000,-40.087742,8.9877481
1860000000,-40.477924,-20.504665
1862500000,-42.776672,-45.402851
1865000000,-46.490082,-80.439354
1867500000,-53.823231,-86.32708
1870000000,-49.799709,-104.16575
1872500000,-56.070148,178.93921
1875000000,-53.000637,177.09209
1877500000,-48.213814,131.98502
1880000000,-45.328602,105.11182
1882500000,-48.86433,87.946007
1885000000,-47.252285,95.761818
1887500000,-45.250175,81.647476
1890000000,-46.272449,86.756088
1892500000,-40.616646,87.091095
1895000000,-38.557072,72.398346
1897500000,-38.41795,45.044437
1900000000,-38.858776,38.372963
1902500000,-38.446472,31.046772
1905000000,-38.311363,19.024233
1907500000,-39.097794,14.747931
1910000000,-39.22607,18.365488
1912500000,-37.146828,7.2567267
1915000000,-37.779541,-10.713621
1917500000,-39.60981,-4.0318723
1920000000,-37.115047,-8.1416206
1922500000,-36.391403,-11.640837
1925000000,-34.724522,-31.258385
1927500000,-35.256626,-47.0266
1930000000,-36.757927,-54.458523
1932500000,-35.946728,-58.763077
1935000000,-36.506405,-74.035744
1937500000,-37.481873,-78.506447
1940000000,-37.048985,-86.015152
1942500000,-37.327877,-101.35071
1945000000,-40.004807,-106.07712
1947500000,-39.258747,-108.38725
1950000000,-41.084248,-113.00348
1952500000,-39.431953,-118.13684
1955000000,-40.526051,-129.63835
1957500000,-41.570381,-126.67159
1960000000,-40.533249,-141.18993
1962500000,-40.570965,-157.0199
1965000000,-44.695549,-174.1931
1967500000,-45.452904,-174.74669
1970000000,-46.611641,-178.91522
1972500000,-52.340099,172.72771
1975000000,-51.753746,-147.87469
1977500000,-48.405579,-175.6693
1980000000,-51.453018,179.65602
