Freq(Hz),S12(DB),S12(DEG)
1500000000,-39.667343,95.631935
1502500000,-36.019878,92.158226
1505000000,-35.248531,82.45063
1507500000,-34.956295,71.506119
1510000000,-33.684158,63.341831
1512500000,-33.705662,43.295128
1515000000,-36.936867,25.366615
1517500000,-37.863274,45.237038
1520000000,-36.455898,40.269562
1522500000,-35.633369,33.651703
1525000000,-34.579227,22.398844
1527500000,-35.253246,2.4101882
1530000000,-37.739357,-6.8113847
1532500000,-37.537281,-12.700235
1535000000,-42.653816,0.002167443
1537500000,-38.098965,-3.3883905
1540000000,-39.165302,-20.751593
1542500000,-39.60907,-29.76326
1545000000,-38.98938,-36.907814
1547500000,-40.394173,-59.359516
1550000000,-42.54982,-81.11351
1552500000,-47.260017,-89.974236
1555000000,-47.671329,-91.255943
1557500000,-52.754925,-86.034714
1560000000,-48.287262,-130.43947
1562500000,-47.792038,178.66309
1565000000,-45.29821,108.35455
1567500000,-50.012363,67.951241
1570000000,-44.635067,62.457718
1572500000,-47.854786,14.592932
1575000000,-48.614288,54.900677
1577500000,-49.970913,44.497486
1580000000,-52.101696,96.21682
1582500000,-43.411682,84.934166
1585000000,-41.253185,65.818024
1587500000,-39.94371,51.894085
1590000000,-39.001774,47.370747
1592500000,-36.32151,30.234863
1595000000,-37.60046,11.319508
1597500000,-38.323399,12.346837
1600000000,-37.385971,4.3565598
1602500000,-37.421902,0.46852958
1605000000,-37.146694,-7.3527856
1607500000,-34.977764,-10.921367
1610000000,-35.853058,-27.910303
1612500000,-36.276371,-26.344307
1615000000,-35.107922,-31.817675
1617500000,-33.925911,-43.527733
1620000000,-33.788136,-58.788471
1622500000,-34.257198,-76.514351
1625000000,-35.946655,-73.107643
1627500000,-34.701443,-85.820145
1630000000,-35.78167,-100.29303
1632500000,-36.575752,-105.62392
1635000000,-36.274715,-114.41991
1637500000,-39.125259,-127.76994
1640000000,-39.411575,-119.51112
1642500000,-38.601868,-138.7953
1645000000,-40.877575,-150.76752
1647500000,-42.967648,-152.59587
1650000000,-44.751438,-160.76157
1652500000,-48.628693,-145.52083
1655000000,-46.661358,-139.98698
1657500000,-46.788757,-149.22688
1660000000,-51.067902,-165.18973
1662500000,-49.984077,-94.133949
1665000000,-45.885521,-122.78579
1667500000,-46.718594,-130.44568
1670000000,-46.125912,-133.82776
1672500000,-46.238422,-140.60014
1675000000,-43.883183,-131.19812
1677500000,-42.840919,-157.76033
1680000000,-43.394188,-177.55206
1682500000,-43.870453,166.91348
1685000000,-44.171623,134.92159
1687500000,-44.990276,106.20133
1690000000,-44.089424,78.188316
1692500000,-41.187527,43.830414
1695000000,-39.519463,-5.2147541
1697500000,-40.054131,-25.903538
1700000000,-38.87289,-56.200844
1702500000,-40.070091,-65.502335
1705000000,-40.676598,-75.179337
1707500000,-37.141991,-75.81279
1710000000,-37.03014,-95.352013
1712500000,-36.246723,-106.02351
1715000000,-35.20052,-123.63815
1717500000,-35.564365,-136.30359
1720000000,-36.515316,-146.00742
1722500000,-35.837494,-151.78436
1725000000,-35.088947,-165.76543
1727500000,-36.222797,178.09377
1730000000,-36.936344,172.03539
1732500000,-36.299644,161.53564
1735000000,-37.652069,144.40228
1737500000,-37.801239,129.5256
1740000000,-41.034138,112.87897
1742500000,-44.142078,115.81432
1745000000,-44.686043,93.95195
1747500000,-56.358921,32.941612
1750000000,-54.317818,-114.00616
1752500000,-47.84663,-138.92982
1755000000,-42.138767,-142.3315
1757500000,-39.638752,-165.72899
1760000000,-38.684422,-179.66589
1762500000,-38.23011,149.72429
1765000000,-41.272316,157.19757
1767500000,-39.403374,158.93501
1770000000,-38.473488,148.61284
1772500000,-36.225307,148.87068
1775000000,-34.822815,122.45097
1777500000,-34.817814,106.08172
1780000000,-35.163963,87.438515
1782500000,-36.448509,72.789482
1785000000,-35.933861,63.588318
1787500000,-37.54789,40.26228
1790000000,-39.66135,26.282553
1792500000,-41.009468,27.989647
1795000000,-39.950253,2.6551058
1797500000,-42.629829,-31.830915
1800000000,-48.218605,-45.406376
1802500000,-46.012207,-51.526669
1805000000,-45.952469,-87.143547
1807500000,-44.838013,-130.04265
1810000000,-44.567299,-176.35753
1812500000,-45.636421,164.88358
1815000000,-42.684013,147.01155
1817500000,-43.01326,116.21071
1820000000,-47.930897,70.612404
1822500000,-45.40284,117.16606
1825000000,-44.795494,89.191727
1827500000,-45.578526,60.380074
1830000000,-59.539917,30.918085
1832500000,-69.254509,95.941399
1835000000,-54.235653,151.50169
1837500000,-51.564888,154.75208
1840000000,-46.600906,169.2444
1842500000,-43.371284,141.67493
1845000000,-41.434406,133.76237
1847500000,-40.890408,120.47447
1850000000,-39.651173,97.434158
1852500000,-41.406578,97.773293
1855000000,-38.692684,88.920517
1857500000,-40.710945,73.722694
1860000000,-41.175148,85.264236
1862500000,-38.701576,84.233841
1865000000,-37.130192,72.888252
1867500000,-37.014317,55.483742
1870000000,-37.453571,49.558819
1872500000,-37.977024,39.455139
1875000000,-37.74987,38.889824
1877500000,-36.749386,33.231697
1880000000,-36.521175,20.467987
1882500000,-38.095078,7.1617379
1885000000,-38.203384,11.293454
1887500000,-37.211456,2.9621596
1890000000,-37.999783,1.237021
1892500000,-36.316212,-12.899993
1895000000,-37.298058,-24.411657
1897500000,-38.680962,-41.08065
1900000000,-41.009727,-42.725212
1902500000,-44.264568,-22.904055
1905000000,-39.415337,-18.378107
