Freq(Hz),S12(DB),S12(DEG)
1500000000,-32.264702,109.18498
1502500000,-33.531456,113.10232
1505000000,-33.842644,121.9237
1507500000,-32.472725,129.17439
1510000000,-30.596802,123.2865
1512500000,-30.501665,115.65565
1515000000,-30.459188,107.12498
1517500000,-31.251062,100.51008
1520000000,-32.31707,108.89165
1522500000,-31.128635,110.41322
1525000000,-30.093557,112.26324
1527500000,-28.870693,100.74754
1530000000,-29.07271,96.058838
1532500000,-28.37528,91.479523
1535000000,-28.237076,82.812225
1537500000,-27.767138,74.785645
1540000000,-28.430355,62.74472
1542500000,-29.322174,56.624111
1545000000,-29.627041,56.845901
1547500000,-29.309601,46.90807
1550000000,-30.552122,41.099701
1552500000,-31.397491,38.303276
1555000000,-31.782612,36.959877
1557500000,-31.34289,32.62373
1560000000,-32.128815,17.785252
1562500000,-34.45491,11.556343
1565000000,-37.176228,9.3672085
1567500000,-42.205868,30.094503
1570000000,-41.885132,64.364357
1572500000,-35.406006,64.551445
1575000000,-35.212009,48.636623
1577500000,-35.551888,51.725231
1580000000,-34.529514,44.125874
1582500000,-35.91864,43.732269
1585000000,-36.40078,52.846687
1587500000,-33.641716,45.457298
1590000000,-34.702599,36.584023
1592500000,-35.239479,47.574928
1595000000,-33.379154,40.569439
1597500000,-34.662064,33.239357
1600000000,-34.157211,46.627045
1602500000,-33.211224,40.977791
1605000000,-32.379211,36.093597
1607500000,-31.388332,34.292614
1610000000,-30.849211,19.620884
1612500000,-32.659409,15.883469
1615000000,-31.288454,19.461416
1617500000,-32.173229,14.494821
1620000000,-31.295176,17.652353
1622500000,-30.109556,6.3803658
1625000000,-30.729181,2.3295498
1627500000,-30.631453,0.098895408
1630000000,-29.904255,-4.6032004
1632500000,-29.272816,-11.591966
1635000000,-29.654526,-17.780859
1637500000,-29.758665,-27.23963
1640000000,-30.286148,-31.508352
1642500000,-29.673792,-35.176132
1645000000,-30.257542,-47.741283
1647500000,-32.122601,-51.539635
1650000000,-31.863832,-49.195721
1652500000,-32.247814,-50.649834
1655000000,-31.962263,-55.557365
1657500000,-31.516005,-66.903114
1660000000,-32.58004,-78.608467
1662500000,-35.480297,-89.310326
1665000000,-38.194977,-65.360626
1667500000,-35.95071,-60.806866
