Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
5000000000,-26.218149,-100.22573,16.303387,-29.289457,-9.9147625,-129.51518
5001250000,-26.286686,-101.17232,16.285608,139.62935,-10.001078,38.457047
5002500000,-26.227163,-101.89884,16.28364,139.49937,-9.9435244,37.600529
5003750000,-26.164751,-102.78223,16.283161,139.37927,-9.8815889,36.597042
5005000000,-26.000105,-103.66532,16.284702,139.34003,-9.7154045,35.674702
5006250000,-25.838133,-105.64143,16.282381,139.2861,-9.5557518,33.644672
5007500000,-25.834339,-107.71874,16.280842,139.12959,-9.5534992,31.410852
5008750000,-25.820675,-109.05001,16.278858,138.95499,-9.5418177,29.90497
5010000000,-25.756216,-110.843,16.280931,138.82697,-9.4752846,27.983974
5011250000,-25.74754,-112.59267,16.280531,138.77271,-9.4670086,26.18004
5012500000,-25.692539,-114.54615,16.281313,138.73476,-9.4112272,24.188597
5013750000,-25.764887,-117.05002,16.280132,138.50046,-9.4847536,21.450443
5015000000,-25.89319,-118.59673,16.27796,138.31908,-9.6152315,19.722342
5016250000,-25.977009,-120.33607,16.277212,138.0643,-9.6997967,17.728235
5017500000,-26.126175,-121.71318,16.278427,138.04234,-9.8477488,16.329163
5018750000,-26.233652,-122.72634,16.278442,138.0329,-9.9552097,15.30654
5020000000,-26.280081,-123.6566,16.27887,137.82678,-10.001212,14.170174
5021250000,-26.29809,-125.18785,16.27771,137.71391,-10.020382,12.526051
5022500000,-26.397537,-126.95278,16.276571,137.79015,-10.120966,10.837374
5023750000,-26.595152,-128.37056,16.277151,137.69489,-10.318001,9.3243179
5025000000,-26.73834,-128.97655,16.273598,137.53252,-10.464744,8.5559616
5026250000,-26.789274,-129.75658,16.277081,137.31073,-10.512194,7.5541644
5027500000,-26.841881,-130.99686,16.277996,137.1931,-10.563883,6.1962395
5028750000,-26.950327,-132.65849,16.279493,137.02058,-10.670835,4.3620958
5030000000,-27.154202,-133.75351,16.282095,136.91449,-10.872108,3.1609769
5031250000,-27.30813,-134.86356,16.285227,136.91759,-11.022902,2.0540457
5032500000,-27.546154,-135.79376,16.288029,136.79993,-11.258126,1.006173
5033750000,-27.801752,-136.02388,16.290579,136.58669,-11.511173,0.56279576
5035000000,-27.935753,-135.5509,16.296555,136.46364,-11.639197,0.91275543
5036250000,-27.936543,-135.51988,16.298376,136.41074,-11.638167,0.89084303
5037500000,-27.956722,-136.13165,16.301825,136.44954,-11.654897,0.31787688
5038750000,-27.976816,-136.90413,16.3027,136.28694,-11.674115,-0.6171788
5040000000,-28.058006,-138.16837,16.305655,136.15459,-11.75235,-2.0137672
5041250000,-28.235495,-139.21159,16.311607,136.09581,-11.923887,-3.1157794
5042500000,-28.412807,-139.29756,16.312145,135.92503,-12.100663,-3.3725412
5043750000,-28.426773,-139.67889,16.316605,135.99313,-12.110168,-3.6857617
5045000000,-28.499594,-141.28912,16.319618,135.74255,-12.179975,-5.5465741
5046250000,-28.818892,-142.75151,16.323847,135.59061,-12.495044,-7.1609068
5047500000,-29.184288,-142.86832,16.327549,135.4865,-12.856739,-7.381813
5048750000,-29.511412,-141.89882,16.33152,135.28458,-13.179893,-6.6142473
5050000000,-29.575165,-140.29367,16.334391,135.14432,-13.240775,-5.1493421
5051250000,-29.550484,-140.9416,16.342968,135.18698,-13.207515,-5.7546325
5052500000,-29.918722,-141.82431,16.346462,135.14066,-13.57226,-6.6836438
5053750000,-30.3466,-140.2382,16.348806,134.99966,-13.997793,-5.2385387
5055000000,-30.59729,-137.42784,16.354828,134.93156,-14.242462,-2.4962723
5056250000,-30.641136,-134.04611,16.35891,134.80595,-14.282228,0.7598545
5057500000,-30.435518,-131.16956,16.362383,134.75293,-14.073136,3.5833755
5058750000,-30.137453,-129.22327,16.365839,134.46333,-13.771613,5.2400708
5060000000,-29.812553,-127.86891,16.372543,134.4854,-13.440009,6.6164846
5061250000,-29.436239,-127.37862,16.379257,134.43884,-13.056982,7.0602303
5062500000,-29.122446,-127.32802,16.38109,134.37714,-12.741356,7.0491352
5063750000,-28.782927,-127.5232,16.384081,134.11508,-12.398846,6.5918822
5065000000,-28.4729,-128.77467,16.388365,133.96002,-12.084536,5.1853542
5066250000,-28.338757,-129.81921,16.392311,133.88205,-11.946445,4.0628247
5067500000,-28.175013,-130.1588,16.397411,133.9623,-11.7776,3.8034894
5068750000,-27.936499,-130.63451,16.399666,133.86624,-11.536834,3.2317479
5070000000,-27.630516,-131.61053,16.403696,133.61914,-11.22682,2.0086002
5071250000,-27.392778,-133.46365,16.410089,133.58963,-10.982689,0.12597984
5072500000,-27.300657,-135.66463,16.414188,133.5217,-10.88647,-2.1429121
5073750000,-27.314636,-136.65343,16.419237,133.43358,-10.895399,-3.219841
5075000000,-27.168381,-137.32101,16.423695,133.27736,-10.744685,-4.0436521
5076250000,-27.042931,-138.63861,16.427204,133.13153,-10.615726,-5.5070691
5077500000,-26.886871,-139.58334,16.431252,133.06822,-10.45562,-6.5151219
5078750000,-26.669413,-141.32738,16.433989,133.02492,-10.235424,-8.3024731
5080000000,-26.520313,-143.57495,16.437263,132.81364,-10.083049,-10.761312
5081250000,-26.483522,-146.25464,16.439701,132.8116,-10.04382,-13.443043
5082500000,-26.52206,-148.41016,16.44146,132.59718,-10.080602,-15.812963
5083750000,-26.598969,-150.42039,16.445812,132.54547,-10.153156,-17.874935
5085000000,-26.692991,-152.1534,16.450464,132.36717,-10.242525,-19.786217
5086250000,-26.812019,-153.69658,16.455994,132.26509,-10.356025,-21.431477
5087500000,-26.966722,-154.78319,16.458447,132.26445,-10.508275,-22.518723
5088750000,-27.042885,-155.21721,16.464266,132.14354,-10.57862,-23.073687
5090000000,-26.998381,-156.27835,16.466972,132.01408,-10.531408,-24.264265
5091250000,-27.094206,-157.70026,16.471237,132.00381,-10.622968,-25.696438
5092500000,-27.171806,-158.37798,16.471638,131.83029,-10.700169,-26.547688
5093750000,-27.186638,-158.91844,16.473679,131.83743,-10.712958,-27.081007
5095000000,-27.156399,-159.80627,16.474646,131.69353,-10.681752,-28.112745
5096250000,-27.09244,-160.94992,16.481173,131.67827,-10.611266,-29.271664
5097500000,-27.092127,-162.51991,16.483288,131.57268,-10.60884,-30.947239
5098750000,-27.085848,-163.96617,16.486471,131.45358,-10.599377,-32.512592
5100000000,-27.162729,-166.0611,16.488016,131.34653,-10.674712,-34.714569
5101250000,-27.30818,-167.03316,16.489655,131.28879,-10.818525,-35.744358
5102500000,-27.326675,-167.98288,16.492336,130.97916,-10.834341,-37.003727
5103750000,-27.319216,-169.6441,16.491522,130.93073,-10.827694,-38.713367
5105000000,-27.427256,-171.5457,16.493546,130.94511,-10.933711,-40.60059
5106250000,-27.580526,-173.07346,16.496384,130.90367,-11.084141,-42.169781
5107500000,-27.728611,-174.47588,16.502113,130.70737,-11.226497,-43.768501
5108750000,-27.904228,-175.61575,16.501221,130.526,-11.403008,-45.089752
5110000000,-28.030539,-176.60986,16.504623,130.20515,-11.525915,-46.404694
5111250000,-28.195387,-177.82231,16.508741,130.01843,-11.686646,-47.803883
5112500000,-28.27055,-178.7538,16.510551,129.96793,-11.759998,-48.78587
5113750000,-28.374161,179.16045,16.515631,129.78494,-11.858529,-51.054611
5115000000,-28.724041,177.19209,16.515509,129.61873,-12.208531,-53.189178
5116250000,-29.018854,176.46341,16.516134,129.48593,-12.502719,-54.050667
5117500000,-29.387249,174.95241,16.51436,129.42068,-12.872888,-55.62693
5118750000,-29.865442,175.00087,16.515203,129.18231,-13.350238,-55.816837
5120000000,-30.229635,175.80461,16.521574,128.97731,-13.708061,-55.218105
5121250000,-30.542007,176.62393,16.522625,128.79868,-14.019383,-54.577404
5122500000,-30.862881,178.25587,16.52516,128.65103,-14.337721,-53.093098
5123750000,-30.996161,-179.3175,16.533392,128.61868,-14.462768,-50.698818
5125000000,-30.905985,-177.08737,16.54108,128.53908,-14.364904,-48.54829
5126250000,-30.632401,-176.60669,16.547428,128.33215,-14.084972,-48.274536
5127500000,-30.51672,-177.33374,16.551479,128.31526,-13.965241,-49.018497
5128750000,-30.485931,-178.39894,16.555449,128.23784,-13.930483,-50.161102
5130000000,-30.56918,179.78503,16.563602,128.077,-14.005577,-52.137978
5131250000,-30.987059,178.74353,16.568493,127.95355,-14.418564,-53.302929
5132500000,-31.369963,-179.70592,16.577536,127.7899,-14.792426,-51.916
5133750000,-31.448542,-177.38828,16.587601,127.69402,-14.860941,-49.694256
5135000000,-31.294666,-176.44745,16.591717,127.52004,-14.702949,-48.927414
5136250000,-31.284718,-177.06668,16.598064,127.54664,-14.686653,-49.520039
5137500000,-31.551327,-176.85426,16.605408,127.44677,-14.945921,-49.407501
5138750000,-31.737518,-175.00749,16.611616,127.26716,-15.125903,-47.740334
5140000000,-31.701202,-172.32018,16.619068,127.11712,-15.082134,-45.20306
5141250000,-31.38069,-170.8725,16.621422,126.90773,-14.759267,-43.96476
5142500000,-31.159704,-171.38414,16.62808,126.9278,-14.531625,-44.45636
