Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
5000000000,-59.308735,-42.310158,16.585142,-125.92699,-42.723595,-168.23714
5001250000,-58.42205,-30.298265,16.57497,-14.141874,-41.84708,-44.44014
5002500000,-55.841125,-48.012089,16.557627,-14.351474,-39.283501,-62.363564
5003750000,-55.066704,-68.597977,16.542734,-14.3269,-38.523972,-82.924873
5005000000,-55.071991,-92.680336,16.529852,-14.44981,-38.542141,-107.13014
5006250000,-56.97364,-116.91241,16.514946,-14.432036,-40.458698,-131.34445
5007500000,-60.063351,-127.50717,16.500118,-14.564099,-43.563232,-142.07129
5008750000,-61.895237,-121.98763,16.48522,-14.626329,-45.410015,-136.61397
5010000000,-62.014114,-113.23281,16.472589,-14.793532,-45.541527,-128.02634
5011250000,-58.325981,-110.36913,16.461433,-14.891804,-41.864548,-125.26093
5012500000,-55.932865,-136.27484,16.450136,-14.77262,-39.482731,-151.04747
5013750000,-55.925358,-159.83194,16.437439,-14.870339,-39.487919,-174.70227
5015000000,-57.14447,-178.98663,16.427792,-14.852706,-40.716679,166.16066
5016250000,-57.610596,175.58157,16.41995,-14.874568,-41.190643,160.707
5017500000,-56.794376,158.93935,16.411957,-15.012567,-40.38242,143.9268
5018750000,-58.924809,138.87912,16.406013,-14.951645,-42.518795,123.92747
5020000000,-60.175159,152.22351,16.399824,-15.112636,-43.775337,137.11087
5021250000,-57.965691,148.22514,16.395691,-15.171069,-41.57,133.05408
5022500000,-55.890842,138.76747,16.393028,-15.235526,-39.497814,123.53195
5023750000,-55.110176,116.80651,16.390371,-15.333155,-38.719807,101.47336
5025000000,-55.299637,105.333,16.389326,-15.352628,-38.910309,89.980377
5026250000,-55.52076,90.988052,16.393406,-15.370157,-39.127354,75.617889
5027500000,-56.127621,85.423759,16.392513,-15.495657,-39.735107,69.928101
5028750000,-55.932545,83.134491,16.396702,-15.507993,-39.535839,67.626495
5030000000,-54.600845,80.469727,16.402514,-15.634564,-38.198334,64.835159
5031250000,-52.912735,71.069084,16.406467,-15.534763,-36.506268,55.534317
5032500000,-52.01461,55.788689,16.41293,-15.60129,-35.601681,40.187397
5033750000,-51.895897,44.45657,16.422863,-15.77997,-35.473034,28.676601
5035000000,-51.285011,36.304375,16.431961,-15.816239,-34.85305,20.488138
5036250000,-50.682041,25.97942,16.440876,-15.857187,-34.241169,10.122233
5037500000,-50.181377,15.120781,16.452877,-15.775185,-33.7285,-0.654405
5038750000,-49.816471,7.0650587,16.463778,-15.988074,-33.352695,-8.9230165
5040000000,-48.79747,-3.1478176,16.478718,-15.993943,-32.318752,-19.14176
5041250000,-48.282246,-16.678423,16.491096,-16.219067,-31.791147,-32.897488
5042500000,-48.18256,-28.038761,16.502972,-16.307293,-31.67959,-44.346054
5043750000,-48.042435,-38.124866,16.518206,-16.306204,-31.524229,-54.431072
5045000000,-47.701862,-47.800762,16.530901,-16.516941,-31.170961,-64.317703
5046250000,-47.538719,-58.181259,16.544327,-16.611502,-30.994394,-74.792755
5047500000,-47.100285,-68.537979,16.558109,-16.645262,-30.542175,-85.183235
5048750000,-47.1469,-82.518402,16.56978,-16.782297,-30.57712,-99.300697
5050000000,-47.917568,-91.027458,16.585165,-16.962585,-31.332405,-107.99004
5051250000,-47.867756,-95.437378,16.598629,-17.216013,-31.269125,-112.65339
5052500000,-47.3988,-103.00864,16.612577,-17.351189,-30.786222,-120.35983
5053750000,-47.160686,-112.36911,16.626402,-17.544136,-30.534286,-129.91324
5055000000,-46.896145,-121.40221,16.641163,-17.62109,-30.254982,-139.02332
5056250000,-46.794514,-131.7697,16.652899,-17.691759,-30.141615,-149.46147
5057500000,-46.889011,-140.5166,16.664665,-17.933945,-30.224344,-158.45056
5058750000,-46.68996,-149.95499,16.674477,-18.163853,-30.015484,-168.11884
5060000000,-46.768242,-159.52129,16.684761,-18.337729,-30.083483,-177.85901
5061250000,-46.736668,-169.7747,16.69371,-18.576376,-30.042959,171.64893
5062500000,-47.107658,178.34164,16.702291,-18.669706,-30.405367,159.67194
5063750000,-48.428352,170.09023,16.708445,-18.954222,-31.719908,151.136
5065000000,-48.855797,170.6514,16.716696,-19.238701,-32.139103,151.41269
5066250000,-48.238102,166.80077,16.721289,-19.325352,-31.516811,147.47542
5067500000,-48.023449,159.59785,16.726772,-19.466736,-31.296675,140.13112
5068750000,-47.510998,152.26483,16.730536,-19.479706,-30.780462,132.78513
5070000000,-47.344067,141.73645,16.734589,-19.76725,-30.609478,121.9692
5071250000,-47.656723,131.81113,16.737541,-20.026009,-30.91918,111.78512
5072500000,-48.111347,123.96401,16.739525,-20.172668,-31.371822,103.79134
5073750000,-48.40937,120.88513,16.741472,-20.353474,-31.667896,100.53165
5075000000,-47.731819,113.76423,16.741251,-20.47278,-30.990568,93.291443
5076250000,-47.742275,102.81256,16.740622,-20.738792,-31.001654,82.073769
5077500000,-48.395817,92.714958,16.739725,-20.926207,-31.65609,71.788742
5078750000,-48.791611,87.534821,16.736559,-21.081697,-32.055054,66.453125
5080000000,-49.283951,79.742531,16.732882,-21.444181,-32.551071,58.298355
5081250000,-49.869846,76.248825,16.727571,-21.417719,-33.142273,54.831108
5082500000,-50.219536,72.419228,16.721987,-21.553923,-33.497547,50.865307
5083750000,-50.496563,70.335815,16.71699,-21.690937,-33.779575,48.644878
5085000000,-50.607952,70.854889,16.710407,-21.794802,-33.897545,49.060085
