Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
4000000000,-42.868881,132.48814,16.114367,-89.427521,-26.754513,43.060619
4005000000,-40.529339,120.3022,16.117014,-90.083054,-24.412323,30.219145
4010000000,-40.088882,106.00278,16.123098,-90.649681,-23.965784,15.353087
4015000000,-39.461903,63.273727,16.126112,-91.145958,-23.335791,-27.872231
4020000000,-39.38044,54.71072,16.119799,-91.709351,-23.260641,-36.998627
4025000000,-37.9492,6.8299136,16.11352,-91.988304,-21.83568,-85.158386
4030000000,-40.455776,-39.710018,16.123035,-92.609749,-24.332743,-132.31976
4035000000,-49.679554,7.6529889,16.126774,-93.155678,-33.55278,-85.502693
4040000000,-44.207676,0.35798436,16.122643,-93.65358,-28.085033,-93.295601
4045000000,-37.52145,-24.141386,16.119057,-94.034164,-21.402393,-118.17555
4050000000,-36.362137,-69.914284,16.117689,-94.219589,-20.244448,-164.13388
4055000000,-35.526131,-106.95051,16.117342,-94.953682,-19.408789,158.09581
4060000000,-37.916542,-136.16292,16.122774,-95.446045,-21.793766,128.39102
4065000000,-38.148979,-159.60345,16.12188,-95.946861,-22.027098,104.44969
4070000000,-37.573864,164.68787,16.11533,-96.55011,-21.458532,68.137772
4075000000,-40.832272,140.90141,16.113255,-96.705086,-24.719019,44.196316
4080000000,-44.145241,124.41677,16.110737,-97.422943,-28.034502,26.993824
4085000000,-41.962349,97.326057,16.10747,-97.922005,-25.854881,-0.59594834
4090000000,-48.310955,62.169598,16.105507,-98.28894,-32.205448,-36.119339
4095000000,-51.0126,172.08916,16.105345,-98.780045,-34.907253,73.309113
4100000000,-43.081474,98.458298,16.105629,-98.919945,-26.975845,-0.46165222
4105000000,-40.755775,63.220142,16.113415,-99.782883,-24.642363,-36.56274
4110000000,-40.948986,4.3191209,16.11779,-100.27802,-24.831198,-95.958893
4115000000,-47.729664,6.358036,16.126511,-100.78413,-31.603151,-94.426094
4120000000,-44.260548,37.450932,16.138966,-101.47657,-28.12158,-64.025642
4125000000,-39.819935,-5.6547351,16.147217,-101.772,-23.67272,-107.42673
4130000000,-36.932102,-45.089832,16.161961,-102.49796,-20.770144,-147.58778
4135000000,-37.348747,-80.723167,16.184008,-102.88194,-21.164738,176.39491
4140000000,-37.423805,-113.82797,16.204437,-103.32733,-21.219368,142.84471
4145000000,-38.198341,-145.13165,16.228167,-103.72249,-21.970173,111.14585
4150000000,-39.394196,-161.4312,16.255617,-103.96931,-23.138577,94.59951
4155000000,-42.450951,163.7668,16.267328,-32.631649,-26.183622,131.13516
4160000000,-44.069691,-178.17212,16.282784,-32.985035,-27.786909,148.84285
4165000000,-39.763977,157.27328,16.294565,-33.498142,-23.469412,123.77515
4170000000,-38.263954,140.05412,16.316301,-33.948772,-21.947653,106.10535
4175000000,-36.807121,103.61285,16.331461,-34.203571,-20.47566,69.409279
4180000000,-36.939426,69.116127,16.354813,-34.821388,-20.584614,34.294743
4185000000,-38.5853,24.535275,16.367598,-35.306492,-22.217705,-10.771216
4190000000,-45.018219,-28.528416,16.382051,-35.787582,-28.636169,-64.316002
4195000000,-47.323936,67.246078,16.392824,-36.201866,-30.93111,31.044205
4200000000,-46.498322,46.998764,16.410164,-36.436607,-30.08816,10.562155
