Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
4000000000,-34.178139,25.310087,16.110788,4.3140402,-18.067348,29.624128
4005000000,-33.097095,3.4320271,16.113409,3.6165836,-16.983686,7.0486107
4010000000,-33.223782,-14.314743,16.122972,3.1554492,-17.100809,-11.159294
4015000000,-33.312798,-36.834232,16.128538,2.5978675,-17.184263,-34.236366
4020000000,-33.971321,-49.000397,16.131758,2.0855632,-17.839563,-46.914829
4025000000,-33.476192,-63.440308,16.129578,1.7756937,-17.346613,-61.664616
4030000000,-33.369823,-85.361794,16.138437,1.0417618,-17.231386,-84.320023
4035000000,-35.14341,-107.19202,16.136679,0.59498376,-19.006731,-106.59704
4040000000,-37.164143,-121.41315,16.129276,0.065398775,-21.034866,-121.34776
4045000000,-38.754433,-105.40519,16.128967,-0.29385796,-22.625465,-105.69904
4050000000,-36.043007,-123.19891,16.125948,-0.62035483,-19.917061,-123.81927
4055000000,-35.431198,-144.9798,16.123411,-1.4609783,-19.307789,-146.44078
4060000000,-36.116695,-148.28432,16.122787,-2.0043397,-19.99391,-150.28865
4065000000,-35.105911,-169.33601,16.120993,-2.4785771,-18.984919,-171.81461
4070000000,-34.998859,171.38805,16.114443,-2.7764285,-18.884418,168.61162
4075000000,-35.297264,156.472,16.113251,-3.1615155,-19.184015,153.31049
4080000000,-36.046803,137.15625,16.107994,-3.7732263,-19.938808,133.38303
4085000000,-36.776497,114.81563,16.105877,-4.3084078,-20.670622,110.50723
4090000000,-40.367447,108.31074,16.101273,-4.7706146,-24.266176,103.54012
4095000000,-40.29932,123.27753,16.101044,-5.1913476,-24.198275,118.08617
4100000000,-37.053566,114.00849,16.101685,-5.3952885,-20.951881,108.61321
4105000000,-35.517799,90.165497,16.108723,-6.2314758,-19.409077,83.934021
4110000000,-35.835377,61.320484,16.109735,-6.7657623,-19.725643,54.554718
4115000000,-36.406414,54.019455,16.117544,-7.2737751,-20.28887,46.745678
4120000000,-35.319153,34.603958,16.130602,-7.8654428,-19.188547,26.738516
4125000000,-36.848412,13.988288,16.136242,-8.1043997,-20.71217,5.8838873
4130000000,-37.569962,5.1660581,16.153345,-8.7847338,-21.416615,-3.6186764
4135000000,-37.716278,-5.0001812,16.178596,-9.1966343,-21.53768,-14.196816
4140000000,-36.168327,-20.128002,16.202007,-9.7525311,-19.96632,-29.880535
4145000000,-36.290291,-43.722538,16.229202,-10.25576,-20.061089,-53.978294
4150000000,-37.840614,-72.732765,16.25668,-10.430952,-21.583935,-83.163719
4155000000,-40.46011,-71.70842,16.267454,-11.001287,-24.192656,-82.709709
4160000000,-40.627888,-81.579147,16.287138,-11.441793,-24.34075,-93.020935
4165000000,-41.145466,-83.694077,16.304823,-12.053403,-24.840641,-95.747482
4170000000,-40.008617,-97.204765,16.32663,-12.504519,-23.681988,-109.70929
4175000000,-40.861462,-114.94397,16.341194,-12.793561,-24.520267,-127.73754
4180000000,-41.817936,-115.34684,16.357393,-13.422385,-25.460545,-128.76923
4185000000,-38.26305,-118.55188,16.374453,-13.923144,-21.888596,-132.47504
4190000000,-36.495438,-148.71925,16.388218,-14.231663,-20.10722,-162.95091
4195000000,-37.877953,179.35921,16.401184,-14.769046,-21.476768,164.59016
4200000000,-41.047256,170.70276,16.408358,-15.01895,-24.638901,155.68381
4205000000,-41.085983,174.03984,16.414742,-15.84376,-24.671238,158.19609
4210000000,-39.978008,164.09412,16.418726,-16.337364,-23.559282,147.75676
4215000000,-40.189037,152.65733,16.423447,-16.732128,-23.765591,135.92522
4220000000,-38.01614,139.59848,16.427635,-17.268574,-21.588505,122.3299
4225000000,-38.78574,122.40257,16.425661,-17.500647,-22.360077,104.90192
4230000000,-38.02985,120.25867,16.423323,-18.190971,-21.606527,102.06771
4235000000,-36.869038,95.391953,16.422421,-18.543642,-20.446615,76.848312
4240000000,-37.400257,81.212013,16.419077,-18.894001,-20.98118,62.31802
4245000000,-37.653683,67.860168,16.414534,-19.249308,-21.239149,48.610863
4250000000,-37.235783,55.963284,16.410339,-19.533192,-20.825441,36.430092
4255000000,-36.801952,41.595943,16.406418,-20.21583,-20.395535,21.380114
4260000000,-36.342255,25.435656,16.394918,-20.681843,-19.947336,4.7538137
4265000000,-36.344517,9.0094337,16.379555,-20.905678,-19.964962,-11.896244
4270000000,-37.404079,-0.21205217,16.368593,-21.388264,-21.035488,-21.600317
4275000000,-36.992378,-14.720021,16.357542,-21.500166,-20.634838,-36.220184
4280000000,-36.328907,-23.606014,16.346973,-22.071146,-19.981937,-45.677158
4285000000,-35.751801,-35.083282,16.33717,-22.482592,-19.414629,-57.56588
4290000000,-34.244076,-53.292404,16.323992,-22.925234,-17.920086,-76.217636
4295000000,-34.330524,-78.256081,16.31588,-23.092279,-18.014647,-101.34837
4300000000,-36.076332,-88.950745,16.308651,-23.354891,-19.767681,-112.30563
4305000000,-35.570034,-99.140518,16.298878,-23.925304,-19.271156,-123.06582
4310000000,-35.189346,-116.75494,16.290369,-24.153034,-18.898975,-140.90797
4315000000,-34.850578,-129.14412,16.279741,-24.521065,-18.570837,-153.66519
4320000000,-34.613113,-151.54694,16.272591,-24.90443,-18.340525,-176.45139
4325000000,-36.213108,-168.73979,16.262083,-25.059425,-19.951023,166.20081
4330000000,-37.075092,179.91394,16.25625,-25.719116,-20.818844,154.19481
4335000000,-37.119488,173.32092,16.252728,-26.101837,-20.866764,147.21907
4340000000,-36.382965,157.65332,16.249269,-26.466776,-20.133696,131.18654
4345000000,-37.144344,142.65965,16.245419,-26.706522,-20.898928,115.95313
4350000000,-37.300846,129.8308,16.236561,-26.809717,-21.064285,103.02108
4355000000,-38.130421,116.41592,16.233912,-27.428616,-21.896507,88.987305
4360000000,-38.810287,103.00816,16.231823,-27.847862,-22.578466,75.160294
4365000000,-39.750374,103.14086,16.232828,-28.307665,-23.517546,74.833191
4370000000,-37.7439,90.884483,16.230707,-28.672615,-21.513191,62.211872
4375000000,-38.119793,69.436768,16.228651,-28.889635,-21.891142,40.547134
