Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
4000000000,-21.020147,-134.64114,16.170595,-89.645996,-4.8495526,135.71286
4005000000,-20.57505,-148.16812,16.169718,-90.363228,-4.4053335,121.46866
4010000000,-20.688393,-165.50082,16.164146,-90.946671,-4.5242443,103.55251
4015000000,-20.578558,-178.44102,16.149229,-91.50029,-4.4293265,90.058685
4020000000,-20.584118,165.59912,16.129763,-92.041946,-4.4543548,73.557175
4025000000,-20.525755,151.57658,16.109024,-92.326614,-4.4167304,59.249981
4030000000,-20.503517,137.66347,16.095119,-92.929771,-4.4083982,44.733681
4035000000,-20.061298,121.85079,16.074989,-93.324799,-3.9863091,28.526007
4040000000,-19.966932,104.95087,16.055033,-93.697449,-3.9118996,11.253412
4045000000,-20.405628,87.575172,16.046669,-94.035515,-4.3589597,-6.4603453
4050000000,-20.674246,74.660561,16.042227,-94.168861,-4.6320181,-19.508297
4055000000,-20.549591,61.243786,16.037273,-94.705124,-4.5123186,-33.461338
4060000000,-20.657095,45.067608,16.044741,-95.2034,-4.6123538,-50.135788
4065000000,-20.561188,30.744253,16.054192,-95.369698,-4.5069971,-64.62545
4070000000,-20.940449,17.752363,16.063272,-95.930511,-4.8771777,-78.178146
4075000000,-20.582159,4.9341998,16.083118,-96.083641,-4.4990406,-91.149445
4080000000,-20.389553,-12.046954,16.099413,-96.688995,-4.2901421,-108.73595
4085000000,-20.380182,-24.967333,16.115385,-97.289474,-4.2647967,-122.25681
4090000000,-20.06378,-40.127705,16.140102,-97.71682,-3.9236784,-137.84451
4095000000,-20.071129,-57.44302,16.152706,-98.271774,-3.9184217,-155.7148
4100000000,-20.043165,-72.069489,16.172913,-98.618629,-3.8702526,-170.68813
4105000000,-20.140059,-88.492195,16.192066,-99.564613,-3.9479926,171.94321
4110000000,-20.264753,-102.80447,16.19956,-100.30444,-4.0651927,156.89108
4115000000,-20.507149,-116.80202,16.205656,-100.98089,-4.3014932,142.21709
4120000000,-20.329319,-130.59167,16.211067,-101.66825,-4.1182523,127.74008
4125000000,-20.08544,-147.37433,16.201397,-102.13361,-3.8840427,110.49207
4130000000,-20.411306,-164.09502,16.196815,-102.95336,-4.2144909,92.95163
4135000000,-20.60272,-177.763,16.199905,-103.33427,-4.4028153,78.902733
4140000000,-20.971727,169.15691,16.196203,-103.87685,-4.7755241,65.280052
4145000000,-20.704952,156.51848,16.202435,-104.20416,-4.5025182,52.31432
4150000000,-20.263506,141.55885,16.212564,-104.34664,-4.0509424,37.212219
4155000000,-20.604,124.37354,16.208979,-18.585293,-4.3950214,105.78824
4160000000,-20.817568,111.29582,16.215761,-18.988144,-4.6018062,92.307686
4165000000,-20.81748,97.097412,16.222664,-19.35754,-4.5948176,77.739876
4170000000,-20.670361,84.044266,16.241241,-19.546206,-4.4291196,64.498055
4175000000,-20.460617,68.452736,16.255974,-19.721439,-4.2046432,48.731304
4180000000,-20.723969,53.150784,16.281958,-20.219345,-4.4420099,32.931442
4185000000,-20.836187,38.48613,16.315302,-20.698071,-4.5208845,17.788063
4190000000,-20.848326,25.29855,16.341894,-21.102999,-4.5064325,4.1955528
4195000000,-20.555323,11.912105,16.375479,-21.479321,-4.1798444,-9.5672178
4200000000,-20.417139,-5.6574845,16.411535,-21.6817,-4.0056043,-27.339186
4205000000,-20.622046,-21.825991,16.436848,-22.496332,-4.1851969,-44.322323
4210000000,-21.031281,-36.483032,16.462334,-23.052832,-4.5689478,-59.53587
4215000000,-21.176212,-48.26709,16.487524,-23.618219,-4.6886883,-71.8853
4220000000,-21.106609,-62.367374,16.504366,-24.260998,-4.6022434,-86.628372
4225000000,-20.784168,-77.388222,16.51255,-24.599669,-4.2716188,-101.98788
4230000000,-20.965891,-92.126656,16.518385,-25.451817,-4.4475055,-117.57847
4235000000,-20.916855,-107.75249,16.516953,-26.068438,-4.3999028,-133.82092
4240000000,-21.05448,-121.25513,16.504627,-26.72744,-4.5498514,-147.98256
4245000000,-20.88036,-135.86928,16.483082,-27.258297,-4.3972759,-163.12758
4250000000,-21.157015,-150.66409,16.461832,-27.466658,-4.6951823,-178.13075
4255000000,-21.096802,-166.05428,16.433228,-28.175943,-4.6635742,165.76979
4260000000,-21.096102,179.18883,16.394878,-28.563526,-4.7012234,150.62531
4265000000,-21.382328,165.94098,16.349773,-28.925636,-5.0325551,137.01535
4270000000,-21.138971,148.73907,16.317812,-29.093731,-4.8211598,119.64536
