Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
4000000000,-21.173065,-92.624031,16.18391,-1.398378,-8.1707373,-69.414391
4005000000,-20.948164,-108.40896,16.163717,-1.7138181,-7.9367194,-100.96772
4010000000,-21.10825,-120.61972,16.146852,-1.9699786,-8.026227,-129.20148
4015000000,-20.828575,-135.32712,16.126698,-2.116998,-7.7787294,-159.61349
4020000000,-20.738922,-150.47569,16.114704,-2.0862527,-7.6888747,169.39964
4025000000,-21.403069,-163.7437,16.111023,-1.8859262,-8.2937698,140.4364
4030000000,-21.265959,-173.79338,16.120689,-1.585174,-8.1448908,114.50702
4035000000,-21.151087,173.57716,16.1418,-1.2395445,-8.094841,86.49157
4040000000,-20.956556,159.05974,16.167788,-0.93244785,-7.8691597,56.570202
4045000000,-21.006294,145.22223,16.196733,-0.71111822,-7.9061298,27.390966
4050000000,-20.860401,131.91112,16.221542,-0.60965806,-7.7779837,-1.2885826
4055000000,-21.198832,118.39545,16.234549,-0.64743108,-8.0381851,-30.469769
4060000000,-20.832867,107.67924,16.235693,-0.81055933,-7.6785598,-57.08028
4065000000,-20.468822,93.93187,16.22286,-1.0763912,-7.290658,-86.723305
4070000000,-20.483164,77.374779,16.195646,-1.4150144,-7.2811742,-119.65777
4075000000,-20.60626,63.901371,16.168726,-1.66697,-7.4333272,-149.25183
4080000000,-20.710678,49.069618,16.150331,-1.771171,-7.5449586,179.6963
4085000000,-20.973919,37.424038,16.144506,-1.7460245,-7.8354239,152.41985
4090000000,-20.95195,24.066648,16.152782,-1.6454326,-7.8619623,122.9395
4095000000,-20.59354,12.519258,16.168396,-1.4888668,-7.5546374,95.68322
4100000000,-20.890213,-2.3920438,16.184875,-1.3486514,-7.8855772,65.445602
4105000000,-20.833513,-13.214239,16.200241,-1.2800028,-7.8242378,38.958847
4110000000,-20.386822,-25.885054,16.207174,-1.265596,-7.4247036,11.532531
4115000000,-20.333025,-44.066509,16.2082,-1.2905332,-7.3952188,-21.935999
4120000000,-20.464445,-56.162384,16.200602,-1.4347237,-7.4848328,-49.919727
4125000000,-20.306952,-70.909622,16.191856,-1.5988725,-7.3609128,-80.406837
4130000000,-20.654877,-87.895027,16.192495,-1.7610642,-7.6607571,-112.76524
4135000000,-21.065123,-98.597374,16.204943,-1.8126541,-8.0027838,-139.52736
4140000000,-21.111618,-110.9175,16.219305,-1.7766025,-7.9487424,-167.56425
4145000000,-21.334278,-124.52465,16.231831,-1.6932433,-8.1117268,163.24603
4150000000,-21.240673,-135.5979,16.253508,-1.4807559,-7.9812446,136.12085
4155000000,-21.242167,-149.12201,16.277634,-1.2495924,-7.9553604,107.00657
4160000000,-21.256372,-160.78368,16.299358,-1.1183791,-7.9749827,79.119659
4165000000,-21.18335,-172.56392,16.326813,-0.97845471,-7.939909,51.968365
4170000000,-21.16276,173.6815,16.3444,-1.0047084,-7.9353108,22.649982
4175000000,-20.844465,161.88257,16.360146,-1.0886604,-7.6103597,-5.0582995
4180000000,-20.495451,147.35805,16.37093,-1.2172955,-7.3314195,-35.143154
4185000000,-20.474882,132.22586,16.381227,-1.2825625,-7.3139443,-65.911728
4190000000,-20.451626,117.135,16.385645,-1.3349735,-7.2675457,-96.521584
4195000000,-20.666006,104.08994,16.389654,-1.3345914,-7.4524736,-125.44704
4200000000,-20.689619,89.711021,16.387651,-1.3453091,-7.4395494,-155.64476
4205000000,-21.258465,76.051727,16.384377,-1.3431883,-7.9514565,175.42291
4210000000,-21.024502,64.112663,16.385298,-1.3857187,-7.7861304,147.36217
4215000000,-21.151928,50.265759,16.389122,-1.4689708,-7.8486362,117.60921
4220000000,-21.522423,35.407459,16.39547,-1.6332467,-8.2484474,86.835777
4225000000,-22.077391,26.042881,16.387545,-1.8881458,-8.8075457,61.240692
4230000000,-21.587286,15.852964,16.369162,-2.1567471,-8.3768291,35.163544
4235000000,-21.597467,1.3549217,16.344374,-2.3675311,-8.4610567,4.7324924
4240000000,-21.653292,-10.567192,16.308731,-2.5529406,-8.5291224,-22.764826
4245000000,-21.521557,-21.697033,16.282143,-2.5496657,-8.4288826,-49.596375
4250000000,-21.075459,-35.574623,16.269199,-2.3536596,-8.0090952,-78.603539
4255000000,-21.008982,-50.60096,16.268774,-2.0324473,-7.9193144,-109.27748
4260000000,-21.372696,-63.685722,16.290497,-1.540445,-8.2418699,-137.43225
4265000000,-21.488018,-78.194954,16.33819,-0.92301035,-8.2577229,-167.24139
4270000000,-21.530024,-89.854027,16.399933,-0.35002235,-8.3030529,166.07927
4275000000,-21.495903,-101.72447,16.458925,0.11474681,-8.1881447,138.88461
4280000000,-21.617617,-115.35851,16.505339,0.38221246,-8.2663593,109.84515
4285000000,-21.661961,-127.58709,16.538862,0.47938618,-8.2797909,81.756714
4290000000,-21.685778,-138.90085,16.547562,0.27271062,-8.3255148,54.546684
4295000000,-21.667263,-152.70819,16.537943,-0.17793833,-8.3094912,24.735029
4300000000,-21.611853,-166.26018,16.504824,-0.86532378,-8.2713013,-5.2677956
4305000000,-21.892365,-178.91901,16.46039,-1.6758031,-8.5877237,-34.38567
4310000000,-21.983044,168.98019,16.402554,-2.4648829,-8.7500744,-63.078026
4315000000,-22.270382,158.37804,16.341406,-3.0372226,-9.0790939,-89.928078
4320000000,-21.991358,149.96042,16.283495,-3.3605547,-8.8086643,-114.55953
4325000000,-21.322092,137.18909,16.23567,-3.3745794,-8.2092419,-143.24319
4330000000,-21.218773,123.11315,16.212196,-3.0826709,-8.1450052,-172.93625
4335000000,-20.877119,110.4221,16.210075,-2.6146252,-7.9249892,159.11745
4340000000,-20.753691,97.74585,16.234529,-2.0394309,-7.7164035,130.99562
4345000000,-20.438887,83.038521,16.278053,-1.469303,-7.4653707,101.31622
4350000000,-20.596249,67.670151,16.332697,-0.96415764,-7.5927882,71.035767
4355000000,-20.527096,55.916145,16.382671,-0.63376784,-7.5197339,44.259697
4360000000,-20.36075,41.655819,16.419268,-0.44017312,-7.2959313,15.128133
4365000000,-20.382185,28.029179,16.437584,-0.4328686,-7.2647161,-13.786571
4370000000,-20.273897,13.816558,16.437054,-0.53689218,-7.1223664,-44.127457
4375000000,-20.544043,-1.4112716,16.42728,-0.69706482,-7.3564644,-74.82206
4380000000,-20.754499,-11.620233,16.423197,-0.75823402,-7.492682,-100.85529
4385000000,-20.471502,-24.94973,16.426134,-0.75744992,-7.1949072,-130.22807
4390000000,-20.512625,-38.523014,16.441162,-0.71253711,-7.1533036,-159.80975
4395000000,-20.606546,-52.125652,16.459211,-0.61123735,-7.2488489,170.76373
4400000000,-20.562325,-63.837605,16.486002,-0.52445722,-7.1920757,143.12688
4405000000,-20.396233,-76.03212,16.498022,-0.59595811,-7.0401573,114.7521
4410000000,-19.839874,-90.774055,16.493977,-0.86284178,-6.5965176,83.953117
4415000000,-20.169958,-106.93369,16.471283,-1.2965335,-6.9710917,51.905457
4420000000,-20.408749,-119.92363,16.42416,-1.8790547,-7.2902188,22.865427
4425000000,-20.322308,-131.68822,16.368628,-2.4662075,-7.2329535,-5.2283301
4430000000,-20.440348,-146.95386,16.305609,-2.9866426,-7.4032946,-36.401711
4435000000,-20.512949,-159.03439,16.257008,-3.2242694,-7.5241551,-64.354149
4440000000,-20.387829,-173.2198,16.21582,-3.2884052,-7.3854594,-94.351273
4445000000,-20.640991,173.37909,16.189938,-3.0638738,-7.6666241,-123.52106
4450000000,-20.70001,161.07587,16.186741,-2.5453031,-7.7256498,-151.3806
