Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
4000000000,-23.093273,8.004878,16.198372,-1.0972377,-10.027775,31.182508
4005000000,-23.053099,-15.154554,16.190893,-1.3474132,-9.9963303,-7.7579784
4010000000,-23.313023,-34.662289,16.175861,-1.6637839,-10.221571,-43.303234
4015000000,-23.615782,-51.686626,16.147457,-1.9605476,-10.59056,-76.114731
4020000000,-22.858315,-70.417244,16.123434,-2.0937731,-9.8528461,-110.64992
4025000000,-22.903521,-91.485069,16.115389,-1.9194475,-9.8378916,-147.25244
4030000000,-22.468241,-109.06319,16.122931,-1.6379385,-9.3795996,179.45634
4035000000,-21.769493,-134.78941,16.139833,-1.331987,-8.7196703,138.39693
4040000000,-22.240685,-156.2372,16.163252,-1.0438138,-9.1400099,101.41666
4045000000,-22.289038,-179.44316,16.190819,-0.83177698,-9.1567192,62.746239
4050000000,-22.533026,159.96658,16.211334,-0.77318746,-9.4166641,26.542143
4055000000,-23.049223,140.72639,16.219133,-0.85101599,-9.8754492,-8.5310974
4060000000,-22.831196,123.28954,16.211765,-1.0405158,-9.6847582,-41.939926
4065000000,-22.440865,101.17481,16.204708,-1.1745341,-9.2876863,-79.858887
4070000000,-23.101566,79.868881,16.189014,-1.3194551,-9.9320431,-117.28946
4075000000,-23.007524,61.299255,16.181566,-1.3650206,-9.8591003,-151.6481
4080000000,-22.959589,42.036156,16.180597,-1.3243383,-9.8041763,173.09972
4085000000,-22.997179,21.75721,16.188934,-1.2714896,-9.8615274,137.32166
4090000000,-23.362692,2.6873198,16.192051,-1.3314437,-10.265595,102.0963
4095000000,-22.774895,-17.132547,16.197575,-1.3917539,-9.7248363,66.456848
4100000000,-23.22658,-38.766727,16.195938,-1.5378377,-10.197402,29.238722
4105000000,-23.536232,-57.068989,16.186382,-1.7266172,-10.512965,-5.0631227
4110000000,-23.411448,-73.885857,16.164648,-1.9337231,-10.443202,-37.045383
4115000000,-22.876802,-95.520897,16.145054,-1.9754798,-9.9491892,-74.084389
4120000000,-22.989567,-112.8306,16.138107,-1.9042877,-10.027401,-107.19274
4125000000,-22.408195,-134.38431,16.148537,-1.657524,-9.4707422,-144.14738
4130000000,-22.519428,-159.02484,16.191366,-1.2995329,-9.5100832,176.21277
4135000000,-22.673515,-176.40141,16.245104,-1.0139806,-9.5796175,143.1662
4140000000,-22.913288,161.72496,16.290867,-0.84079146,-9.7192307,105.83166
4145000000,-22.872526,144.24879,16.316984,-0.92487508,-9.6107483,72.665756
4150000000,-22.700214,124.70437,16.315521,-1.2143148,-9.4286699,36.779755
4155000000,-22.519482,104.90988,16.295568,-1.5711678,-9.2606277,0.90617114
4160000000,-22.202446,84.054291,16.267311,-1.9035813,-8.9779177,-36.468723
4165000000,-22.561274,59.170605,16.255941,-1.9542522,-9.3751202,-76.879677
4170000000,-22.705086,38.944267,16.259956,-1.8471777,-9.5041161,-112.61873
4175000000,-23.194923,21.346054,16.281382,-1.5966313,-9.9732304,-146.01706
4180000000,-23.368057,0.75975019,16.322071,-1.2195044,-10.167555,177.96643
4185000000,-23.158241,-15.075107,16.378035,-0.77648127,-9.9440317,146.81432
4190000000,-23.128092,-34.427006,16.428511,-0.49090976,-9.8915482,112.16097
4195000000,-23.086578,-54.398773,16.460938,-0.43023953,-9.8354778,76.286057
4200000000,-23.101749,-73.024719,16.460722,-0.65477967,-9.8540554,41.871384
4205000000,-22.768848,-95.769341,16.440475,-1.0457277,-9.5092373,3.8690398
4210000000,-22.984364,-117.19753,16.406391,-1.5665923,-9.8317137,-33.902355
4215000000,-23.364105,-135.23096,16.370689,-2.0638833,-10.144956,-67.977882
4220000000,-23.209278,-153.23746,16.339865,-2.4803214,-10.012794,-102.07924
4225000000,-23.092819,-172.55904,16.315168,-2.6455102,-9.8848534,-137.53845
4230000000,-23.129215,165.84015,16.30444,-2.5986154,-9.9229116,-174.71251
4235000000,-23.119703,148.61633,16.30419,-2.417064,-9.9294548,152.22606
4240000000,-22.870455,126.88751,16.299889,-2.2388146,-9.6675014,114.95394
4245000000,-22.986935,106.18386,16.303755,-2.0045338,-9.8120146,78.449753
4250000000,-23.026081,86.981064,16.312979,-1.7620538,-9.8881769,44.088799
4255000000,-23.112782,69.021866,16.32011,-1.5790285,-9.9749851,10.432595
4260000000,-22.994143,51.921654,16.330956,-1.3510367,-9.8628893,-21.929531
4265000000,-22.252729,31.326855,16.35552,-1.0216693,-9.0562658,-57.970413
4270000000,-22.049162,6.2824936,16.399595,-0.55617142,-8.86765,-97.885986
4275000000,-22.276327,-14.633491,16.446402,-0.15875271,-9.0123825,-134.02505
4280000000,-22.478291,-36.018539,16.48559,0.1375438,-9.139905,-170.73799
4285000000,-22.770716,-56.165417,16.52146,0.32623771,-9.3697186,153.27013
4290000000,-22.958481,-74.722588,16.535528,0.18146342,-9.5675802,118.75064
4295000000,-23.109426,-92.872856,16.5289,-0.229591,-9.7063122,84.478653
4300000000,-22.936144,-111.90047,16.495262,-0.9345876,-9.5527687,48.822258
4305000000,-22.855324,-133.08684,16.449036,-1.7353883,-9.5406666,10.987533
4310000000,-23.154751,-154.27493,16.395182,-2.4427049,-9.9343643,-26.78311
4315000000,-23.422136,-171.35995,16.337543,-2.9348805,-10.26693,-59.909748
4320000000,-23.55267,167.17291,16.289862,-3.1639559,-10.414627,-97.373619
4325000000,-23.831125,151.69237,16.252041,-3.0956957,-10.761647,-128.51915
4330000000,-23.881777,135.02895,16.236738,-2.8062351,-10.847429,-160.67625
4335000000,-23.12821,119.27971,16.23975,-2.3452551,-10.203407,168.53705
4340000000,-22.720079,98.303299,16.273369,-1.8282593,-9.6789961,132.13905
4345000000,-22.723085,75.391632,16.307673,-1.5065379,-9.7240868,94.075157
4350000000,-22.340221,55.998505,16.335058,-1.3014174,-9.3048782,59.411404
