Freq(Hz),S21(DB),S21(DEG),"""a1,1""(DB)","""a1,1""(DEG)","""b2,1""(DB)","""b2,1""(DEG)"
4000000000,-25.993101,32.271587,16.207508,-75.871391,-9.785594,-43.599796
4005000000,-26.150541,-7.2195587,16.199638,-76.659821,-9.9509039,-83.879379
4010000000,-26.350039,-41.428654,16.183466,-77.253922,-10.166572,-118.68257
4015000000,-26.736908,-74.77932,16.154772,-77.661438,-10.582136,-152.44075
4020000000,-26.037859,-109.58552,16.130106,-77.908943,-9.9077549,172.50554
4025000000,-26.000277,-146.15741,16.121521,-78.051933,-9.8787556,135.79065
4030000000,-25.584044,-178.69891,16.127228,-78.525299,-9.4568167,102.77579
4035000000,-24.851095,140.29659,16.144192,-78.909378,-8.7069035,61.387207
4040000000,-25.217943,102.7951,16.167553,-79.458939,-9.0503912,23.336166
4045000000,-25.206501,63.202179,16.195465,-79.857567,-9.0110369,-16.655384
4050000000,-25.479736,26.714979,16.216015,-80.295532,-9.2637205,-53.580559
4055000000,-26.069382,-8.8906441,16.221893,-81.11113,-9.8474874,-90.00177
4060000000,-25.881491,-41.597004,16.2146,-81.680862,-9.6668911,-123.27785
4065000000,-25.543972,-79.256287,16.20755,-82.200912,-9.336421,-161.45718
4070000000,-26.175093,-116.92556,16.191031,-82.662437,-9.9840641,160.412
4075000000,-26.124182,-150.39124,16.184113,-82.878693,-9.9400692,126.73009
4080000000,-26.147598,174.58002,16.183529,-83.455856,-9.9640684,91.124168
4085000000,-25.979107,139.65759,16.190044,-83.935005,-9.7890615,55.722591
4090000000,-26.258997,102.78609,16.194868,-84.519371,-10.06413,18.266724
4095000000,-25.986269,66.24633,16.198824,-85.091385,-9.787446,-18.845057
4100000000,-26.484438,30.709118,16.197086,-85.360626,-10.287351,-54.651508
4105000000,-26.704163,-3.4611917,16.187469,-86.260719,-10.516692,-89.721916
4110000000,-26.542442,-35.923161,16.166231,-86.811989,-10.376213,-122.73515
4115000000,-26.129612,-72.52919,16.146379,-87.208908,-9.9832335,-159.7381
4120000000,-26.37591,-105.82566,16.139475,-87.548714,-10.236433,166.62564
4125000000,-25.58489,-142.42371,16.149633,-87.786278,-9.435256,129.79001
4130000000,-25.581347,177.66824,16.191959,-88.436111,-9.3893881,89.232147
4135000000,-25.770382,143.7411,16.24604,-89.006325,-9.5243425,54.734772
4140000000,-25.93457,106.82111,16.291365,-89.608261,-9.6432037,17.212852
4145000000,-25.805847,72.818115,16.31798,-90.320511,-9.4878664,-17.502398
4150000000,-25.735273,36.149666,16.316025,-90.762665,-9.4192476,-54.613003
4155000000,-25.727896,1.9232351,16.295292,-91.510132,-9.4326038,-89.586899
4160000000,-25.302423,-33.564678,16.268131,-91.903633,-9.0342932,-125.46831
4165000000,-25.49774,-74.823738,16.255972,-92.155167,-9.2417669,-166.97891
4170000000,-25.746084,-110.7953,16.259443,-92.321625,-9.4866409,156.88309
4175000000,-26.080303,-145.33412,16.28207,-92.468018,-9.7982321,122.19786
4180000000,-26.458261,177.96959,16.322121,-93.127136,-10.13614,84.842453
