"a1,1 Log Mag"
"Freq (Hz)","dBm",
1500000000, 1.570329e+001,
1567500000, 1.558017e+001,
1635000000, 1.587329e+001,
1702500000, 1.596322e+001,
1770000000, 1.581219e+001,
1837500000, 1.585561e+001,
1905000000, 1.609997e+001,
1972500000, 1.604978e+001,
2040000000, 1.593249e+001,
2107500000, 1.603848e+001,
2175000000, 1.613196e+001,
2242500000, 1.610946e+001,
2310000000, 1.625044e+001,
2377500000, 1.624839e+001,
2445000000, 1.607662e+001,
2512500000, 1.616162e+001,
2580000000, 1.630796e+001,
2647500000, 1.613479e+001,
2715000000, 1.611669e+001,
2782500000, 1.621192e+001,
2850000000, 1.618662e+001,
2917500000, 1.618403e+001,
2985000000, 1.618768e+001,
3052500000, 1.617409e+001,
3120000000, 1.620790e+001,
3187500000, 1.622873e+001,
3255000000, 1.616291e+001,
3322500000, 1.618102e+001,
3390000000, 1.621301e+001,
3457500000, 1.617618e+001,
3525000000, 1.618209e+001,
3592500000, 1.618805e+001,
3660000000, 1.618170e+001,
3727500000, 1.622692e+001,
3795000000, 1.614466e+001,
3862500000, 1.612353e+001,
3930000000, 1.628759e+001,
3997500000, 1.616572e+001,
4065000000, 1.608499e+001,
4132500000, 1.626578e+001,
4200000000, 1.639519e+001,
4267500000, 1.638715e+001,
4335000000, 1.636758e+001,
4402500000, 1.635902e+001,
4470000000, 1.637284e+001,
4537500000, 1.648573e+001,
4605000000, 1.638370e+001,
4672500000, 1.639827e+001,
4740000000, 1.668745e+001,
4807500000, 1.665362e+001,
4875000000, 1.643923e+001,
4942500000, 1.662145e+001,
5010000000, 1.658898e+001,
5077500000, 1.650537e+001,
5145000000, 1.672285e+001,
5212500000, 1.675307e+001,
5280000000, 1.669462e+001,
5347500000, 1.687689e+001,
5415000000, 1.686488e+001,
5482500000, 1.669915e+001,
5550000000, 1.673587e+001,
5617500000, 1.687504e+001,
5685000000, 1.678011e+001,
5752500000, 1.675434e+001,
5820000000, 1.680543e+001,
5887500000, 1.673809e+001,
