Freq(Hz),S21(DB),S21(DEG)
6000000000,-57.780197,-45.458328
6003921568.6275,-58.270145,-100.65366
6007843137.2549,-58.991371,-126.62682
6011764705.8824,-57.652256,-144.99002
6015686274.5098,-53.953236,-176.56721
6019607843.1373,-52.503181,130.4469
6023529411.7647,-54.814133,80.069405
6027450980.3922,-60.025352,41.144379
6031372549.0196,-65.132233,70.548065
6035294117.6471,-59.589809,69.975548
6039215686.2745,-56.941441,39.80653
6043137254.902,-55.552643,17.761515
6047058823.5294,-53.19276,-13.670718
6050980392.1569,-52.70179,-47.615822
6054901960.7843,-51.611801,-77.925453
6058823529.4118,-51.744942,-114.72253
6062745098.0392,-52.477455,-141.57936
6066666666.6667,-52.210052,-167.48322
6070588235.2941,-52.048096,162.50137
6074509803.9216,-51.7342,127.52253
6078431372.549,-54.787052,97.89444
6082352941.1765,-54.156521,88.444008
6086274509.8039,-52.504654,57.260971
6090196078.4314,-52.715141,21.97114
6094117647.0588,-53.051212,-11.823014
6098039215.6863,-52.838799,-42.443985
6101960784.3137,-51.891533,-84.162552
6105882352.9412,-53.252041,-138.40613
6109803921.5686,-55.514641,-179.17987
6113725490.1961,-55.217518,135.53575
6117647058.8235,-55.468742,82.974792
6121568627.451,-55.986996,32.454605
6125490196.0784,-54.631023,-14.430354
6129411764.7059,-55.08857,-63.439972
6133333333.3333,-55.415176,-107.70686
6137254901.9608,-55.608551,-135.38918
6141176470.5882,-56.341942,-175.69888
6145098039.2157,-56.345013,162.29491
6149019607.8431,-54.833473,128.24944
6152941176.4706,-54.384029,90.595055
6156862745.098,-54.496181,46.29097
6160784313.7255,-54.58342,2.0058699
6164705882.3529,-55.152443,-58.641129
6168627450.9804,-58.496361,-124.6075
6172549019.6078,-59.594334,175.70131
6176470588.2353,-59.930241,129.47937
6180392156.8627,-55.408089,80.157654
6184313725.4902,-53.679321,24.68631
6188235294.1176,-53.098751,-29.252857
6192156862.7451,-55.622803,-66.205864
6196078431.3725,-55.052547,-90.530792
6200000000,-55.496479,-121.69706
6203921568.6275,-55.710396,-145.52364
6207843137.2549,-55.629604,-168.27841
6211764705.8824,-54.401955,163.24751
6215686274.5098,-55.385349,140.19131
6219607843.1373,-53.339581,114.91866
6223529411.7647,-52.836948,76.802208
6227450980.3922,-55.113785,48.991127
6231372549.0196,-54.577728,30.040699
6235294117.6471,-53.615841,2.66868
6239215686.2745,-54.591446,-33.353161
6243137254.902,-57.139751,-58.275429
6247058823.5294,-57.544273,-59.186268
6250980392.1569,-56.422394,-81.034103
6254901960.7843,-54.635303,-91.424507
6258823529.4118,-52.444683,-127.47591
6262745098.0392,-52.660656,-157.39479
6266666666.6667,-51.281063,176.65349
6270588235.2941,-50.636719,147.8929
6274509803.9216,-49.402195,109.77438
6278431372.549,-49.795101,69.263908
6282352941.1765,-50.957699,36.196411
6286274509.8039,-51.161018,6.4533186
6290196078.4314,-51.394169,-38.287426
6294117647.0588,-53.216278,-78.65374
6298039215.6863,-55.122375,-134.11284
6301960784.3137,-61.772026,165.02982
6305882352.9412,-65.549591,76.971443
6309803921.5686,-69.229187,-8.6494179
6313725490.1961,-64.884659,-32.541229
6317647058.8235,-61.99884,-74.022316
6321568627.451,-63.567039,-84.658409
6325490196.0784,-56.076294,-93.423378
6329411764.7059,-52.118587,-145.84496
6333333333.3333,-52.173008,170.66933
6337254901.9608,-51.235886,143.25842
6341176470.5882,-50.281193,105.1315
6345098039.2157,-50.651379,70.37468
6349019607.8431,-51.344498,43.992062
6352941176.4706,-50.306427,16.739651
6356862745.098,-50.636112,-15.120315
6360784313.7255,-49.636845,-39.589699
6364705882.3529,-49.43996,-76.665436
6368627450.9804,-49.391411,-104.65707
6372549019.6078,-48.97839,-140.75694
6376470588.2353,-50.14489,178.22906
6380392156.8627,-52.093365,149.53432
6384313725.4902,-53.390324,116.58434
6388235294.1176,-55.36084,95.171951
6392156862.7451,-55.846413,61.985039
6396078431.3725,-59.478889,18.936398
6400000000,-69.086693,24.148767
6403921568.6275,-64.264481,56.882744
6407843137.2549,-61.788872,32.808823
6411764705.8824,-57.269779,5.5506039
6415686274.5098,-55.902935,-52.446575
6419607843.1373,-57.424255,-108.37178
6423529411.7647,-61.276913,177.61751
6427450980.3922,-63.649391,118.18423
6431372549.0196,-60.16798,48.415092
6435294117.6471,-58.440868,-12.409878
6439215686.2745,-58.475609,-35.578236
6443137254.902,-53.331459,-73.398888
6447058823.5294,-52.743683,-123.21796
6450980392.1569,-52.796925,-162.31386
6454901960.7843,-54.580433,158.61182
6458823529.4118,-57.445011,156.09169
