Freq(Hz),S21(DB),S21(DEG)
6000000000,-58.102909,-47.296261
6003921568.6275,-58.590206,-97.020866
6007843137.2549,-58.946262,-119.9284
6011764705.8824,-58.975979,-138.62306
6015686274.5098,-54.931175,-162.47366
6019607843.1373,-53.105194,147.28946
6023529411.7647,-54.95536,101.64496
6027450980.3922,-59.104557,71.409462
6031372549.0196,-59.941124,84.163689
6035294117.6471,-55.645569,66.229439
6039215686.2745,-54.631207,30.323025
6043137254.902,-54.031796,7.3040104
6047058823.5294,-52.018559,-19.98617
6050980392.1569,-51.681416,-56.098385
6054901960.7843,-51.448391,-84.2118
6058823529.4118,-51.12455,-117.36022
6062745098.0392,-52.400993,-147.03226
6066666666.6667,-52.420048,-166.99506
6070588235.2941,-51.527702,171.08591
6074509803.9216,-50.410431,133.30229
6078431372.549,-52.559387,101.29135
6082352941.1765,-52.454842,85.248932
6086274509.8039,-51.497818,56.993763
6090196078.4314,-51.477669,24.034845
6094117647.0588,-51.855824,-10.518126
6098039215.6863,-51.940948,-39.546371
6101960784.3137,-51.569489,-78.925789
6105882352.9412,-53.181454,-126.28726
6109803921.5686,-56.18425,-162.70346
6113725490.1961,-55.904842,161.59444
6117647058.8235,-56.564575,104.76258
6121568627.451,-57.479588,56.015087
6125490196.0784,-55.352966,-2.190547
6129411764.7059,-55.28088,-65.665527
6133333333.3333,-57.358524,-119.39646
6137254901.9608,-58.671116,-139.89594
6141176470.5882,-58.287807,-176.25737
6145098039.2157,-58.826988,160.48183
6149019607.8431,-56.232304,132.46609
6152941176.4706,-55.500301,90.513145
6156862745.098,-55.113842,43.846912
6160784313.7255,-55.012352,-6.3738985
6164705882.3529,-55.761993,-68.653862
6168627450.9804,-57.382385,-135.93935
6172549019.6078,-58.395611,161.35922
6176470588.2353,-59.107918,122.44964
6180392156.8627,-55.212048,80.413704
6184313725.4902,-53.409325,30.771225
6188235294.1176,-52.582951,-24.362494
6192156862.7451,-55.618671,-61.328892
6196078431.3725,-55.289837,-90.019234
6200000000,-57.384193,-116.74263
6203921568.6275,-57.695328,-133.90898
6207843137.2549,-57.115288,-148.86748
6211764705.8824,-55.260414,-178.35593
6215686274.5098,-55.917427,158.97145
6219607843.1373,-53.563236,131.14381
6223529411.7647,-53.585426,94.425766
6227450980.3922,-55.335594,68.292862
6231372549.0196,-53.779263,50.012287
6235294117.6471,-52.873283,13.531044
6239215686.2745,-54.915726,-25.096783
6243137254.902,-57.550144,-45.653469
6247058823.5294,-58.449505,-48.751369
6250980392.1569,-57.257645,-58.195644
6254901960.7843,-53.205849,-74.528786
6258823529.4118,-51.63401,-117.63776
6262745098.0392,-51.873001,-145.63306
6266666666.6667,-50.095921,-176.14229
6270588235.2941,-49.669632,150.19655
6274509803.9216,-49.286118,110.04782
6278431372.549,-50.532616,69.740456
6282352941.1765,-52.146442,42.883259
6286274509.8039,-52.579559,17.163883
6290196078.4314,-52.432755,-23.58663
6294117647.0588,-54.555695,-67.932686
6298039215.6863,-59.062016,-129.45865
6301960784.3137,-74.494057,68.358421
6305882352.9412,-63.449551,-15.331033
6309803921.5686,-61.068523,-63.826157
6313725490.1961,-60.985966,-82.65683
6317647058.8235,-59.023891,-105.42251
6321568627.451,-61.396141,-130.48006
6325490196.0784,-56.711914,-111.61964
6329411764.7059,-52.04678,-158.86371
6333333333.3333,-52.475174,160.50014
6337254901.9608,-51.231503,142.34491
6341176470.5882,-49.673454,104.93069
6345098039.2157,-49.568607,70.678581
6349019607.8431,-50.09761,42.402466
6352941176.4706,-49.247414,14.594124
6356862745.098,-49.830372,-14.908307
6360784313.7255,-48.58736,-39.98518
6364705882.3529,-48.481083,-75.614586
6368627450.9804,-47.988472,-107.54035
6372549019.6078,-48.370632,-144.85698
6376470588.2353,-49.448364,174.59454
6380392156.8627,-51.816933,146.1749
6384313725.4902,-53.77858,112.11237
6388235294.1176,-56.633312,97.510498
6392156862.7451,-55.601192,72.634071
6396078431.3725,-58.246517,22.298508
6400000000,-68.056725,9.4180918
6403921568.6275,-63.868675,49.349327
6407843137.2549,-62.794991,20.719978
6411764705.8824,-58.20195,0.56304574
6415686274.5098,-56.337563,-61.342449
6419607843.1373,-57.45821,-118.04407
6423529411.7647,-58.312244,171.08086
6427450980.3922,-58.151623,109.33855
6431372549.0196,-55.203629,44.680691
6435294117.6471,-55.205219,-17.501917
6439215686.2745,-57.292767,-44.316776
6443137254.902,-53.700321,-75.819229
6447058823.5294,-53.72345,-116.46741
6450980392.1569,-53.514561,-152.77
6454901960.7843,-54.782734,175.33424
6458823529.4118,-55.701962,168.00514
6462745098.0392,-52.442699,137.11116
6466666666.6667,-53.10297,95.688766
6470588235.2941,-53.30439,76.903885
6474509803.9216,-51.961586,43.636246
6478431372.549,-53.161491,-0.82966703
6482352941.1765,-56.163994,-24.312346
6486274509.8039,-57.71722,-33.65184
6490196078.4314,-56.563519,-52.535789
6494117647.0588,-55.878296,-82.404335
6498039215.6863,-57.74493,-100.61891
