Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
6000000000,-8.0335407,-5.8402858,-36.336411,-172.7187,-36.194492,-172.15906,-8.0777473,-16.384657
6002500000,-8.0582628,-6.5019946,-35.57169,-176.63367,-35.603306,-176.56587,-8.1430254,-16.804804
6005000000,-8.1461315,-7.2481446,-35.240028,-178.82153,-35.292809,-178.37448,-8.1333237,-17.782875
6007500000,-8.2211103,-7.9789453,-34.671528,179.13939,-34.704128,178.93774,-8.2313175,-17.929459
6010000000,-8.3163548,-8.8278532,-34.044548,175.72569,-34.012817,175.73885,-8.2343922,-18.686598
6012500000,-8.3272696,-9.1683559,-33.514736,171.81387,-33.640633,171.49654,-8.3106518,-19.874996
6015000000,-8.3901815,-10.360587,-33.469677,168.09657,-33.300293,166.91747,-8.2145691,-20.378271
6017500000,-8.4335489,-10.774151,-33.291264,164.67159,-33.135265,165.1667,-8.2981701,-20.888218
6020000000,-8.5023756,-11.380149,-32.939415,161.81128,-32.807514,162.27325,-8.3006535,-21.913244
6022500000,-8.5679502,-11.856635,-32.152718,159.39517,-32.156883,159.60869,-8.3638048,-22.271318
6025000000,-8.7062969,-12.673917,-31.682373,153.65652,-31.685961,152.62314,-8.3419838,-23.029467
6027500000,-8.7224255,-13.24158,-31.559971,146.61807,-31.433649,145.80368,-8.3511181,-23.108948
6030000000,-8.7703581,-14.480946,-31.639122,138.20648,-31.629007,138.36627,-8.4055214,-24.262608
6032500000,-8.8640032,-14.610427,-31.884539,132.86195,-31.998362,131.69701,-8.3662443,-26.195032
6035000000,-8.8682861,-14.967463,-32.499043,128.66582,-32.358387,128.01151,-8.352252,-27.053173
6037500000,-8.9779339,-15.424905,-32.781475,121.27261,-32.784218,121.19928,-8.4833527,-27.813002
6040000000,-9.0239277,-16.141315,-33.335033,116.91117,-33.499043,117.22777,-8.5573759,-29.181744
6042500000,-8.9661226,-16.489079,-34.180664,112.62082,-34.079967,112.32977,-8.5921545,-29.791903
6045000000,-9.0029116,-17.112236,-35.073303,109.35556,-35.068661,108.62982,-8.611928,-30.393581
6047500000,-9.1377573,-18.289793,-35.980286,107.80795,-36.052887,106.85107,-8.6457872,-31.117632
6050000000,-9.0943642,-19.310064,-36.708351,105.77415,-36.850586,106.68735,-8.7429094,-32.688759
6052500000,-9.1154718,-19.644522,-38.331894,102.53194,-38.258011,101.50141,-8.7755032,-32.943401
6055000000,-9.2228804,-21.136066,-40.552502,104.2377,-40.673069,104.70194,-8.8826122,-33.569977
6057500000,-9.2181339,-21.241341,-42.126541,117.57024,-42.172787,119.10879,-8.9897165,-34.999496
6060000000,-9.2942772,-21.73749,-42.517658,133.83195,-42.433361,133.92427,-9.0249262,-35.382343
6062500000,-9.2969275,-22.403467,-41.789658,146.18112,-41.89994,145.90495,-9.1893826,-36.400597
6065000000,-9.4169044,-22.95557,-39.991013,156.61487,-39.870659,156.51299,-9.18328,-37.35667
6067500000,-9.5106745,-24.000467,-38.571373,156.63898,-38.628418,157.09499,-9.3506813,-38.353058
6070000000,-9.5949364,-25.892635,-37.462814,157.06863,-37.432098,156.99474,-9.3457508,-38.159271
6072500000,-9.7385664,-25.51182,-36.6478,155.84438,-36.690334,154.52591,-9.3467264,-39.819336
6075000000,-9.7959318,-26.164101,-36.21032,154.04921,-36.353134,155.34367,-9.5038033,-39.698681
6077500000,-9.9142847,-26.728056,-35.503662,156.5316,-35.39539,157.08881,-9.434864,-40.547192
6080000000,-9.9282436,-27.577251,-34.136581,156.33266,-34.140491,155.71309,-9.54389,-40.478802
6082500000,-10.129998,-27.898575,-33.31065,150.8732,-33.24791,150.17616,-9.598382,-41.884014
6085000000,-10.289605,-28.124035,-32.805153,148.64877,-32.626011,148.91664,-9.6629009,-42.728283
6087500000,-10.25138,-29.39119,-31.940243,145.31808,-31.901484,145.31474,-9.7759304,-43.021534
6090000000,-10.347454,-30.096111,-31.237272,139.5154,-31.188429,140.09935,-9.7180548,-44.074516
6092500000,-10.539507,-30.507895,-30.809019,134.53091,-30.844013,134.25545,-9.6618738,-44.266499
6095000000,-10.683162,-30.897516,-30.246664,128.13136,-30.223736,128.23204,-9.835371,-45.713173
6097500000,-10.730716,-30.559179,-30.014507,121.54182,-30.027094,121.80598,-9.9259968,-46.35714
6100000000,-10.813633,-31.040279,-30.12903,114.93658,-30.275362,114.85492,-9.869771,-47.669273
6102500000,-10.818458,-31.294825,-30.108303,111.18799,-30.099274,110.46648,-9.9376907,-48.211655
6105000000,-10.904201,-31.820185,-30.217661,105.11554,-30.13118,105.15062,-10.034759,-49.008469
6107500000,-10.934703,-32.415298,-30.440535,100.71845,-30.358061,100.73272,-9.9667559,-50.159683
6110000000,-11.052129,-33.231136,-30.464054,95.825195,-30.535381,94.794395,-9.966258,-50.218037
6112500000,-11.158922,-34.020912,-30.825912,90.445091,-30.925671,89.037384,-10.042974,-51.105347
6115000000,-11.218972,-35.332817,-31.116009,88.003441,-31.300915,88.359573,-10.100034,-52.309822
6117500000,-11.330075,-35.459045,-31.594345,83.816628,-31.366621,83.168747,-10.16826,-53.969395
6120000000,-11.351768,-36.588554,-31.809601,78.187775,-31.759949,79.545624,-10.201784,-55.127197
6122500000,-11.429935,-36.29771,-32.363503,73.93354,-32.456547,74.891846,-10.305984,-56.060669
6125000000,-11.593064,-37.844322,-33.199947,71.93248,-33.247101,72.296745,-10.393998,-56.696342
6127500000,-11.590893,-38.434563,-34.19101,73.573265,-34.162827,73.839302,-10.535597,-57.816242
6130000000,-11.737189,-39.925785,-34.473946,73.307556,-34.380257,73.960892,-10.689829,-58.250866
6132500000,-11.837846,-40.065022,-34.719807,73.053802,-34.741398,73.345764,-10.771428,-59.537327
6135000000,-11.892993,-41.128635,-35.121998,75.685814,-35.179714,74.982834,-10.624918,-60.325611
6137500000,-12.006675,-42.559151,-34.762165,77.514175,-34.845547,75.616524,-10.714404,-61.7757
6140000000,-12.245672,-42.76281,-35.056931,71.668793,-35.071648,71.673271,-11.020397,-63.107254
6142500000,-12.396442,-42.754978,-35.76926,69.848618,-35.952724,71.105217,-11.170419,-62.832222
6145000000,-12.540073,-44.085583,-36.707623,71.70916,-36.69965,71.462158,-11.246173,-63.495064
6147500000,-12.624058,-44.171791,-37.425896,75.892746,-37.616795,76.475403,-11.122053,-63.208202
6150000000,-12.697087,-45.036488,-37.533588,83.787498,-37.491291,83.252663,-11.226552,-64.612587
6152500000,-12.979489,-45.769989,-37.419224,87.872253,-37.536243,88.300941,-11.231673,-64.968536
6155000000,-13.160894,-45.663078,-36.896591,96.333046,-37.005726,95.489136,-11.243396,-66.588486
6157500000,-13.418671,-45.984222,-35.861404,99.551422,-35.829548,99.393486,-11.421617,-67.333023
6160000000,-13.499959,-45.66925,-34.726154,100.14819,-34.889889,100.89287,-11.585697,-68.599586
6162500000,-13.63523,-45.753174,-33.859844,100.25362,-33.881756,100.28661,-11.620082,-68.897293
6165000000,-13.717505,-45.487453,-32.864296,100.06358,-32.68874,99.791153,-11.70034,-69.254379
6167500000,-13.991679,-43.456295,-31.758854,96.29097,-31.747486,96.414764,-11.612898,-71.004204
6170000000,-13.916535,-44.036129,-31.011274,90.526123,-30.864452,90.580948,-11.787045,-70.882896
6172500000,-13.885652,-43.113762,-30.55785,83.956886,-30.614786,84.732597,-11.76503,-72.119934
6175000000,-13.816403,-43.079735,-30.164806,78.913452,-30.184559,78.99823,-11.770649,-73.854065
6177500000,-13.778633,-42.522224,-30.126476,75.81945,-30.089376,74.79821,-11.877971,-74.743332
6180000000,-13.88481,-43.272282,-29.95595,71.177017,-29.900314,70.927391,-11.887378,-75.427727
6182500000,-13.815367,-44.45454,-29.838825,64.813972,-29.806738,64.538841,-11.79243,-77.109428
6185000000,-13.754031,-45.242336,-29.751156,59.382381,-29.733158,59.105419,-11.912965,-77.839508
6187500000,-13.583451,-46.281277,-30.118937,55.840576,-30.14901,56.559727,-12.113343,-79.237457
6190000000,-13.788761,-47.173561,-30.130701,53.659943,-30.116016,53.028564,-12.092459,-80.849403
6192500000,-13.706464,-47.579544,-30.031218,50.373268,-30.124441,50.141842,-12.038508,-82.171913
6195000000,-13.885276,-48.32246,-30.050499,47.025101,-30.02309,46.224609,-12.360728,-83.635895
6197500000,-13.879702,-50.302242,-30.228914,42.740238,-30.19504,42.168072,-12.409757,-85.209007
6200000000,-14.179291,-52.34317,-30.750172,39.718399,-30.663973,39.751987,-12.590942,-86.774124
6202500000,-14.202647,-52.621979,-30.789366,38.492687,-30.845863,38.66367,-12.868668,-87.599945
6205000000,-14.443551,-52.437244,-30.711105,36.684311,-30.652561,35.866222,-13.031539,-87.140541
6207500000,-14.483549,-53.261086,-30.81835,32.561966,-30.826899,32.876602,-13.307003,-88.021049
6210000000,-14.468158,-54.067146,-30.850346,29.749319,-30.882122,29.252884,-13.209698,-89.086327
6212500000,-14.458277,-55.716606,-31.325804,26.865793,-31.441544,26.22752,-13.381484,-89.430214
6215000000,-14.78685,-57.000652,-31.774149,25.665461,-31.8148,25.034861,-13.368752,-90.78421
6217500000,-14.909981,-57.592209,-32.005955,24.350962,-31.975105,23.655403,-13.400695,-92.153343
6220000000,-15.142231,-58.436333,-32.256351,23.751684,-32.246914,22.944653,-13.566283,-93.09523
6222500000,-15.182444,-60.081493,-32.574825,22.754072,-32.495621,23.517834,-13.633942,-94.052948
6225000000,-15.334403,-60.598362,-32.415825,22.844906,-32.480026,22.193258,-14.022693,-94.849861
6227500000,-15.621448,-62.386265,-32.362434,20.036968,-32.423695,19.586868,-14.057598,-94.937431
6230000000,-16.042971,-64.079109,-32.710255,16.248896,-32.825497,15.966337,-14.172689,-95.201088
6232500000,-16.182199,-64.758141,-33.164364,18.325901,-33.09919,18.323328,-14.251594,-95.120583
6235000000,-16.399183,-64.660179,-33.151787,19.044437,-33.203434,17.802773,-14.122146,-95.646652
6237500000,-16.635521,-65.54882,-33.30344,18.385992,-33.306686,19.026802,-14.100599,-96.422348
6240000000,-16.875954,-65.043839,-33.242226,19.714193,-33.062435,19.565382,-14.166804,-96.770134
6242500000,-17.148935,-67.350304,-32.724995,19.643641,-32.662815,18.285868,-14.197507,-98.949333
6245000000,-17.473679,-67.165825,-32.144753,16.256516,-32.281948,17.095028,-14.1142,-101.02349
6247500000,-17.74732,-68.654434,-32.584625,10.277362,-32.542164,11.120308,-14.419684,-101.92814
6250000000,-18.079697,-66.623573,-33.06395,8.5104933,-33.22142,8.4457417,-14.364285,-102.77076
6252500000,-18.333597,-68.034142,-33.703583,10.563034,-33.62508,11.31095,-14.468411,-103.88862
6255000000,-18.431421,-66.361679,-33.314682,14.552177,-33.438438,14.757169,-14.274278,-104.6684
6257500000,-18.823614,-67.446411,-33.149601,11.318283,-32.959671,11.069275,-14.396949,-107.7565
6260000000,-18.855635,-64.665794,-33.017128,11.630058,-33.135433,12.072864,-14.430011,-109.562
6262500000,-19.080948,-64.144783,-32.967201,13.623113,-32.980888,14.478412,-14.548338,-109.54955
6265000000,-18.990095,-63.627926,-32.535236,13.078612,-32.384014,11.527755,-14.830596,-110.8637
6267500000,-18.982891,-63.267284,-31.867594,10.571563,-31.997326,10.766035,-14.949245,-111.68014
6270000000,-19.043535,-63.503925,-31.657913,6.7612271,-31.692707,6.2765479,-15.06461,-115.51559
6272500000,-18.91049,-64.089714,-31.910248,4.3084345,-31.869194,3.7094595,-15.140455,-116.76117
6275000000,-18.83761,-66.152893,-31.514881,2.7437873,-31.631874,2.9214249,-15.203598,-117.63831
6277500000,-19.371687,-66.043823,-31.598232,-1.6807526,-31.679102,-1.4689512,-15.233185,-119.12296
6280000000,-19.407206,-64.722786,-31.723875,-2.3535557,-31.512728,-2.4928803,-15.660539,-119.97182
6282500000,-19.621058,-65.677597,-31.497458,-3.8360524,-31.513493,-3.866375,-15.700594,-122.7803
