Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
6000000000,-7.9639282,-6.16363,-35.55061,-166.85028,-35.644394,-166.97673,-8.0451937,-16.600374
6002500000,-8.0489283,-6.6396031,-34.77216,-171.88853,-34.694782,-171.5047,-8.0924673,-17.2609
6005000000,-8.1577768,-7.434896,-34.139641,-175.75412,-34.199722,-176.50858,-8.0908718,-18.284311
6007500000,-8.2305927,-8.2896328,-33.725613,-179.6577,-33.677586,179.85699,-8.2095604,-18.693855
6010000000,-8.3505573,-9.0460873,-33.286854,175.90585,-33.226139,175.73392,-8.2577944,-19.256218
6012500000,-8.4092407,-9.3358583,-32.937031,172.04684,-32.962795,171.92146,-8.3193464,-20.564394
6015000000,-8.4987421,-10.293422,-32.633987,168.27936,-32.577442,167.6778,-8.2656078,-20.566208
6017500000,-8.5138559,-11.194057,-32.208668,163.57182,-32.142979,163.82765,-8.3486357,-21.335682
6020000000,-8.6027584,-11.399776,-31.942867,158.68726,-31.900459,159.76007,-8.3906727,-22.202459
6022500000,-8.6245222,-11.524442,-31.547415,154.00189,-31.522913,153.46652,-8.4221363,-22.202574
6025000000,-8.7276793,-12.724823,-31.402485,148.93869,-31.507589,147.91026,-8.4002628,-23.181253
6027500000,-8.7967463,-13.230439,-31.41083,142.66284,-31.261574,142.05957,-8.4244213,-23.187462
6030000000,-8.7818937,-13.948774,-31.612223,134.46846,-31.717024,134.70979,-8.4571838,-24.04813
6032500000,-8.8785276,-14.511647,-32.024338,130.08757,-32.133163,129.48285,-8.3801355,-25.501398
6035000000,-8.8717794,-14.6659,-32.488972,127.20184,-32.287945,126.24074,-8.2901649,-27.011677
6037500000,-8.989831,-15.306533,-32.71315,120.21117,-32.633373,119.9961,-8.5106764,-27.54673
6040000000,-9.0332518,-16.131805,-33.089985,115.59291,-33.218655,115.81718,-8.5544214,-28.872873
6042500000,-8.9814348,-16.034197,-33.952122,110.14291,-33.919132,109.29621,-8.6104507,-29.455137
6045000000,-8.9625139,-17.258938,-35.074741,107.87981,-35.008595,107.98315,-8.6339893,-29.613512
6047500000,-9.0151691,-18.018003,-35.752602,107.07994,-35.803619,106.52778,-8.6339521,-30.628036
6050000000,-9.0734978,-19.330589,-36.300293,104.00811,-36.263706,104.60472,-8.7063017,-32.033573
6052500000,-9.0394793,-19.738424,-37.53207,99.872246,-37.393013,99.75296,-8.7286482,-32.581467
6055000000,-9.1967306,-20.288326,-39.633526,97.427612,-39.774311,96.517632,-8.8576355,-33.415958
6057500000,-9.1854334,-20.878674,-42.008194,106.94808,-42.027882,108.02656,-8.9905672,-34.948738
6060000000,-9.2474766,-21.370131,-42.807152,122.19711,-43.030499,124.84406,-9.0501385,-35.162323
6062500000,-9.2452326,-22.269039,-42.606926,142.82777,-42.713871,145.76848,-9.1858158,-36.56319
6065000000,-9.3959951,-23.165556,-40.423317,155.99226,-40.616196,153.6832,-9.1865778,-37.197403
6067500000,-9.4116106,-24.258287,-39.038719,156.49823,-38.954227,155.63777,-9.3223696,-38.395439
6070000000,-9.4946747,-25.664637,-37.649281,156.56972,-37.598064,155.69046,-9.2717037,-38.125366
6072500000,-9.6296387,-25.19681,-36.739761,151.7803,-36.742344,152.91544,-9.3439112,-39.648876
6075000000,-9.7018661,-26.126348,-36.407898,151.43488,-36.398193,151.2153,-9.369524,-40.317574
6077500000,-9.8638697,-27.026915,-35.929325,151.71997,-35.719791,151.61716,-9.4068003,-40.56068
6080000000,-9.9279947,-27.535984,-35.012226,153.17026,-35.061405,152.63197,-9.5344906,-40.702137
6082500000,-10.028798,-27.865356,-34.132141,149.71483,-33.952297,148.84103,-9.6047993,-41.482323
6085000000,-10.171668,-28.51692,-33.574837,148.77316,-33.442726,149.31514,-9.6277647,-42.207272
6087500000,-10.089523,-29.357138,-32.538044,145.38719,-32.515705,145.78357,-9.6598721,-42.774574
6090000000,-10.213681,-30.635567,-31.913136,140.54115,-31.809641,140.85146,-9.6843643,-43.518444
6092500000,-10.611938,-31.435219,-31.347998,137.07324,-31.385412,136.40637,-9.6939259,-44.07235
6095000000,-10.664194,-31.547453,-30.627148,130.58217,-30.643814,131.11383,-9.7472715,-45.483109
6097500000,-10.800625,-31.886763,-30.369978,123.67955,-30.450956,124.02161,-9.7534828,-46.016068
6100000000,-10.84608,-31.590889,-30.385477,117.79904,-30.559235,118.01289,-9.8509388,-47.277218
6102500000,-10.802672,-31.409103,-30.320107,113.22822,-30.326647,112.91155,-9.9093237,-48.586269
6105000000,-10.969275,-32.661068,-30.314157,107.6516,-30.213524,107.91617,-10.007733,-48.970005
