Freq(Hz),S21(DB),S21(DEG)
6000000000,-42.500835,44.33865
6002500000,-42.347313,29.519657
6005000000,-41.99612,14.86619
6007500000,-42.227245,1.664642
6010000000,-41.426163,-9.8109455
6012500000,-41.071968,-26.790823
6015000000,-41.138851,-42.147682
6017500000,-41.247982,-57.694576
6020000000,-41.441418,-71.01902
6022500000,-41.458897,-85.83535
6025000000,-41.890072,-100.36158
6027500000,-42.16254,-112.70091
6030000000,-42.205887,-126.13051
6032500000,-42.265667,-141.74855
6035000000,-42.494183,-159.21651
6037500000,-43.175968,-176.76831
6040000000,-44.185459,164.48917
6042500000,-45.956554,148.46907
6045000000,-47.530659,134.56224
6047500000,-49.599197,123.65185
6050000000,-51.427139,111.96256
6052500000,-54.169285,107.01611
6055000000,-56.166187,109.73766
6057500000,-56.404858,116.2744
6060000000,-55.391388,108.66652
6062500000,-54.691685,90.063324
6065000000,-56.745842,55.37635
6067500000,-61.894974,33.126328
6070000000,-62.580723,-7.8761115
6072500000,-58.746433,-80.614159
6075000000,-53.84972,-128.82422
6077500000,-51.122562,-164.78532
6080000000,-49.548298,169.78889
6082500000,-48.713211,149.4435
6085000000,-47.752026,132.37589
6087500000,-47.528084,119.60227
6090000000,-46.044201,108.59395
6092500000,-44.980755,90.438698
6095000000,-44.401722,71.808693
6097500000,-44.879875,56.972126
6100000000,-44.502186,46.801453
6102500000,-43.742878,32.614132
6105000000,-43.844738,16.296061
6107500000,-43.622437,4.6479502
6110000000,-43.264824,-11.312407
6112500000,-43.8055,-30.411633
6115000000,-44.855339,-43.365791
6117500000,-46.085304,-53.289711
6120000000,-46.693771,-54.951202
6122500000,-46.098911,-61.365971
6125000000,-45.980587,-69.628242
6127500000,-45.184574,-78.114807
6130000000,-44.274227,-90.245491
6132500000,-44.132668,-111.78023
6135000000,-45.631031,-123.10825
6137500000,-45.410061,-128.55498
6140000000,-45.094849,-142.95935
6142500000,-45.482452,-156.91978
6145000000,-46.481846,-168.75475
6147500000,-47.105118,-172.36421
6150000000,-45.98093,178.59741
6152500000,-45.573009,162.41568
6155000000,-45.706627,142.46146
6157500000,-47.623837,123.81351
6160000000,-48.800961,119.8332
6162500000,-49.134659,99.316376
6165000000,-52.499752,87.209923
6167500000,-55.553047,88.398781
6170000000,-56.561932,103.92249
6172500000,-54.088715,110.04367
6175000000,-52.889324,85.80011
6177500000,-55.914173,78.290932
6180000000,-56.121792,76.091942
6182500000,-58.343853,72.51033
6185000000,-59.576534,86.832298
6187500000,-58.230675,93.377235
6190000000,-56.394203,94.174248
6192500000,-55.893509,99.016685
6195000000,-53.096745,95.540298
6197500000,-51.384529,83.456505
6200000000,-51.147446,76.888062
6202500000,-49.459324,74.04142
6205000000,-47.49229,64.358971
6207500000,-45.29921,51.684933
